pool_family,month,window_id,quote_unit,realized_vol_annualised_pct,measured_regime,arm,adaptive,solver_gas_cost_quote,simulated_block_count,observed_time_span_seconds,trigger_count,clear_count,trade_count,fallback_count,auction_clear_rate,total_lp_net_quote,total_solver_payment_quote,total_winning_solver_profit_quote,total_potential_gross_lvr_quote,total_foregone_gross_lvr_quote,recapture_ratio,stale_time_share,cumulative_stale_time_seconds,cumulative_gap_time_bps_seconds,mean_delay_seconds,mean_effective_trigger_gap_bps,median_effective_trigger_gap_bps,mean_triggered_threshold_gap_bps,economic_threshold_feasible_rate,economic_threshold_minimum_bound_count,economic_threshold_interior_count,economic_threshold_maximum_escape_count,delta_total_lp_net_quote_vs_fixed10,delta_total_solver_payment_quote_vs_fixed10,delta_total_foregone_gross_lvr_quote_vs_fixed10,delta_stale_time_share_vs_fixed10,delta_cumulative_stale_time_seconds_vs_fixed10,delta_cumulative_gap_time_bps_seconds_vs_fixed10,delta_trigger_count_vs_fixed10,delta_clear_count_vs_fixed10,delta_trade_count_vs_fixed10,delta_fallback_count_vs_fixed10,lp_net_outcome_vs_fixed10
weth_usdc_3000,2026_01,weth_usdc_3000_month_24136052_24143251_w01,WETH,18.60330536644617,normal,fixed_10bps_control,False,5.047782716855625e-06,341,85704,22,0,6,22,0.0,-0.28612691185695244,0.0,0.0,7.766109985207997,6.662804652479485,0.7406638911557233,0.8499019882385886,72840,772777.6759092124,1468,10.0,10.0,10.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24136052_24143251_w01,WETH,18.60330536644617,normal,adaptive_5_100_h60,True,5.047782716855625e-06,341,85704,0,0,0,0,0.0,0.0,0.0,0.0,63.31772118675594,63.31772118675594,,1.0,85704,2764155.86092295,,100.0,100.0,,0.0,0,0,341,0.28612691185695244,0.0,56.65491653427645,0.15009801176141135,12864.0,1991378.1850137375,-22.0,0.0,-6.0,-22.0,improved
weth_usdc_3000,2026_01,weth_usdc_3000_month_24136052_24143251_w01,WETH,18.60330536644617,normal,adaptive_5_1000_h600,True,5.047782716855625e-06,341,85704,0,0,0,0,0.0,0.0,0.0,0.0,63.31772118675594,63.31772118675594,,1.0,85704,2764155.86092295,,320.01077965794764,320.010779606907,,1.0,0,341,0,0.28612691185695244,0.0,56.65491653427645,0.15009801176141135,12864.0,1991378.1850137375,-22.0,0.0,-6.0,-22.0,improved
weth_usdc_3000,2026_01,weth_usdc_3000_month_24136052_24143251_w01,WETH,18.60330536644617,normal,adaptive_10_1000_h600,True,5.047782716855625e-06,341,85704,0,0,0,0,0.0,0.0,0.0,0.0,63.31772118675594,63.31772118675594,,1.0,85704,2764155.86092295,,320.01077965794764,320.010779606907,,1.0,0,341,0,0.28612691185695244,0.0,56.65491653427645,0.15009801176141135,12864.0,1991378.1850137375,-22.0,0.0,-6.0,-22.0,improved
weth_usdc_3000,2026_01,weth_usdc_3000_month_24208052_24215251_w11,WETH,41.62573543989503,normal,fixed_10bps_control,False,4.843187474753745e-06,493,84084,26,0,11,25,0.0,-0.800063435741018,0.0,0.0,31.946280900009512,29.037275587637858,0.7249701015194288,0.4859426287997717,40860,685108.430983337,1078.909090909091,10.0,10.0,10.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24208052_24215251_w11,WETH,41.62573543989503,normal,adaptive_5_100_h60,True,4.843187474753745e-06,493,84084,1,0,1,1,0.0,-0.979448412440121,0.0,0.0,197.6813326080381,195.34347546239388,0.5810486477905674,0.7401170258313116,62232,2788268.129637971,696,100.0,100.0,100.0,0.0,0,0,433,-0.17938497669910303,0.0,166.30619987475603,0.2541743970315399,21372.0,2103159.698654634,-25.0,0.0,-10.0,-24.0,worsened
weth_usdc_3000,2026_01,weth_usdc_3000_month_24208052_24215251_w11,WETH,41.62573543989503,normal,adaptive_5_1000_h600,True,4.843187474753745e-06,493,84084,0,0,0,0,0.0,0.0,0.0,0.0,649.8980891483835,649.8980891483835,,0.7750820607963466,65172,5309047.982687725,,320.0099560828262,320.00995526614616,,1.0,0,450,0,0.800063435741018,0.0,620.8608135607457,0.2891394319965749,24312.0,4623939.551704388,-26.0,0.0,-11.0,-25.0,improved
weth_usdc_3000,2026_01,weth_usdc_3000_month_24208052_24215251_w11,WETH,41.62573543989503,normal,adaptive_10_1000_h600,True,4.843187474753745e-06,493,84084,0,0,0,0,0.0,0.0,0.0,0.0,649.8980891483835,649.8980891483835,,0.7750820607963466,65172,5309047.982687725,,320.0099560828262,320.00995526614616,,1.0,0,450,0,0.800063435741018,0.0,620.8608135607457,0.2891394319965749,24312.0,4623939.551704388,-26.0,0.0,-11.0,-25.0,improved
weth_usdc_3000,2026_01,weth_usdc_3000_month_24280052_24287251_w21,WETH,87.00301739835774,normal,fixed_10bps_control,False,5.033015319116504e-06,862,86580,34,1,29,33,0.029411764705882353,-6.03800688989371,0.23854762537310675,0.0018523420879237795,209.1296303471275,185.8545886685912,0.7405801900040497,0.4334026334026334,37524,1607187.2508701044,778.3448275862069,10.0,10.0,10.0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24280052_24287251_w21,WETH,87.00301739835774,normal,adaptive_5_100_h60,True,5.033015319116504e-06,862,86580,12,1,12,11,0.08333333333333333,-6.708372508024974,0.25706803533699885,0.00032264233275653055,414.8855138828726,389.7995091943862,0.7325850572329727,0.6887040887040887,59628,2904500.976014729,704,100.0,100.0,100.0,0.0,0,0,658,-0.6703656181312638,0.018520409963892093,203.944920525795,0.2553014553014553,22104.0,1297313.7251446247,-22.0,0.0,-17.0,-22.0,worsened
