pool_family,quote_unit,arm,window_count,normal_window_count,stress_window_count,unmeasurable_window_count,trigger_count,clear_count,trade_count,fallback_count,aggregate_clear_rate,weighted_stale_time_share,mean_stale_time_share,mean_effective_trigger_gap_bps,median_window_trigger_gap_bps,mean_delay_seconds,economic_threshold_feasible_rate,total_lp_net_quote,delta_total_lp_net_quote_vs_fixed10,improved_window_count,worsened_window_count,unchanged_window_count,delta_trigger_count_vs_fixed10,delta_clear_count_vs_fixed10,delta_trade_count_vs_fixed10,delta_fallback_count_vs_fixed10,delta_stale_seconds_vs_fixed10,delta_gap_time_bps_seconds_vs_fixed10
all_pools,mixed_do_not_sum,adaptive_10_1000_h600,72,66,4,2,23,14,23,9,0.6086956521739131,0.8377653860132811,0.8367142528133997,320.0196511708138,320.0152875365702,597.4,1.0,,,57,1,14,-1394.0,9.0,-748.0,-1389.0,1755684.0,266096329.93755507
all_pools,mixed_do_not_sum,adaptive_5_1000_h600,72,66,4,2,23,14,23,9,0.6086956521739131,0.8377653860132811,0.8367142528133997,320.0196511708138,320.0152875365702,597.4,1.0,,,57,1,14,-1394.0,9.0,-748.0,-1389.0,1755684.0,266096329.93755507
all_pools,mixed_do_not_sum,adaptive_5_100_h60,72,66,4,2,175,5,171,170,0.02857142857142857,0.8043297101813048,0.8037538720023587,100.0,100.0,756.0126705653022,0.0,,,35,23,14,-1242.0,0.0,-600.0,-1228.0,1555872.0,101105231.41033812
all_pools,mixed_do_not_sum,fixed_10bps_control,72,66,4,2,1417,5,771,1398,0.0035285815102328866,0.5439768193236559,0.5452944238879788,10.0,10.0,846.3060737002178,,,,0,0,72,0.0,0.0,0.0,0.0,0.0,0.0
eurc_usdc_500,EURC,adaptive_10_1000_h600,24,22,0,2,0,0,0,0,0.0,0.8380309550038648,0.8373289431241276,320.0086269243301,320.00856065400035,,1.0,0.0,2198.167462164387,11,0,13,-331.0,0.0,-19.0,-327.0,403764.0,13889205.745368753
eurc_usdc_500,EURC,adaptive_5_1000_h600,24,22,0,2,0,0,0,0,0.0,0.8380309550038648,0.8373289431241276,320.0086269243301,320.00856065400035,,1.0,0.0,2198.167462164387,11,0,13,-331.0,0.0,-19.0,-327.0,403764.0,13889205.745368753
eurc_usdc_500,EURC,adaptive_5_100_h60,24,22,0,2,0,0,0,0,0.0,0.8380309550038648,0.8373289431241276,100.0,100.0,,0.0,0.0,2198.167462164387,11,0,13,-331.0,0.0,-19.0,-327.0,403764.0,13889205.745368753
eurc_usdc_500,EURC,fixed_10bps_control,24,22,0,2,331,0,19,327,0.0,0.6332446759949605,0.6344984676759905,10.0,10.0,957.1818181818181,,-2198.167462164387,0.0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0
paxg_usdc_500,PAXG,adaptive_10_1000_h600,24,22,2,0,6,5,6,1,0.8333333333333334,0.8406175985609354,0.8392372945863902,320.0335608727997,320.0249200452242,490.5,1.0,-0.25256428319711216,3.415841631227972,23,0,1,-359.0,4.0,-258.0,-358.0,663276.0,118718180.79745932
paxg_usdc_500,PAXG,adaptive_5_1000_h600,24,22,2,0,6,5,6,1,0.8333333333333334,0.8406175985609354,0.8392372945863902,320.0335608727997,320.0249200452242,490.5,1.0,-0.25256428319711216,3.415841631227972,23,0,1,-359.0,4.0,-258.0,-358.0,663276.0,118718180.79745932
paxg_usdc_500,PAXG,adaptive_5_100_h60,24,22,2,0,50,1,48,49,0.02,0.7984350172387947,0.7980467196479566,100.0,100.0,666.3589743589744,0.0,-4.239452326931131,-0.5710464125060468,12,11,1,-315.0,0.0,-216.0,-310.0,578856.0,46650086.425060436
paxg_usdc_500,PAXG,fixed_10bps_control,24,22,2,0,365,1,264,359,0.0027397260273972603,0.5091950232348973,0.510694349934041,10.0,10.0,748.3354024840817,,-3.668405914425084,0.0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000,WETH,adaptive_10_1000_h600,24,22,2,0,17,9,17,8,0.5294117647058824,0.83465430168401,0.8335765207296814,320.01676571531164,320.0165458242943,621.1555555555556,1.0,-22.46846368631289,61.063405605368544,23,1,0,-704.0,5.0,-471.0,-704.0,688644.0,133488943.39472702
weth_usdc_3000,WETH,adaptive_5_1000_h600,24,22,2,0,17,9,17,8,0.5294117647058824,0.83465430168401,0.8335765207296814,320.01676571531164,320.0165458242943,621.1555555555556,1.0,-22.46846368631289,61.063405605368544,23,1,0,-704.0,5.0,-471.0,-704.0,688644.0,133488943.39472702
weth_usdc_3000,WETH,adaptive_5_100_h60,24,22,2,0,125,4,123,121,0.032,0.7770469018649317,0.775885953234992,100.0,100.0,806.6864988558352,0.0,-90.04449897092334,-6.512629679241901,12,12,0,-596.0,0.0,-365.0,-591.0,573252.0,40565939.239908926
weth_usdc_3000,WETH,fixed_10bps_control,24,22,2,0,721,4,488,712,0.005547850208044383,0.49086105569633903,0.49069045405390477,10.0,10.0,889.3765840616146,,-83.53186929168143,0.0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0
