base_train_count,branch,calibration_count,calibration_start,evaluation_scheme,fold,group_support,heldout_pool,intercept,kind,method,purge_seconds,slope,support,test_count,test_start
89220,closes_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,0.0,identity,identity,3600,1.0,4727,14088,1769904011
89220,widens_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,0.0,identity,identity,3600,1.0,4727,14088,1769904011
89220,zero_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,0.0,identity,identity,3600,1.0,4727,14088,1769904011
89220,closes_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,-0.5407529330842733,log_odds_offset,global_offset,3600,1.0,4727,14088,1769904011
89220,widens_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,-0.5407529330842733,log_odds_offset,global_offset,3600,1.0,4727,14088,1769904011
89220,zero_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,-0.5407529330842733,log_odds_offset,global_offset,3600,1.0,4727,14088,1769904011
89220,closes_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,0.5091540119327569,log_odds_offset,sign_offset,3600,1.0,2376,14088,1769904011
89220,widens_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,11,,-1.3519814571352122,log_odds_offset,sign_offset,3600,1.0,2351,14088,1769904011
89220,zero_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,-0.5407529330842733,log_odds_offset,sign_offset,3600,1.0,4727,14088,1769904011
89220,closes_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,-0.6997484465201423,platt,global_platt,3600,1.2989151588872667,4727,14088,1769904011
89220,widens_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,-0.6997484465201423,platt,global_platt,3600,1.2989151588872667,4727,14088,1769904011
89220,zero_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,-0.6997484465201423,platt,global_platt,3600,1.2989151588872667,4727,14088,1769904011
89220,closes_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,0.8764049310512554,platt,sign_platt,3600,0.6941364900329583,2376,14088,1769904011
89220,widens_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,11,,-1.072851062486774,platt,sign_platt,3600,1.00001969320082e-06,2351,14088,1769904011
89220,zero_gap,11505,1767225695,rolling_chronological,2026-01_to_2026-02,12,,-0.6997484465201423,platt,sign_platt,3600,1.2989151588872667,4727,14088,1769904011
89220,closes_gap,10000,1767225695,rolling_pool_held_out,2026-01_to_2026-02,8,eurc_usdc_500,0.0,identity,identity,3600,1.0,4626,1627,1769904011
89220,widens_gap,10000,1767225695,rolling_pool_held_out,2026-01_to_2026-02,8,eurc_usdc_500,0.0,identity,identity,3600,1.0,4626,1627,1769904011
89220,zero_gap,10000,1767225695,rolling_pool_held_out,2026-01_to_2026-02,8,eurc_usdc_500,0.0,identity,identity,3600,1.0,4626,1627,1769904011
