abstention_count,abstention_positive_lp_loss_usd,abstention_potential_surcharge_usd,abstention_volume_usd,adaptive_calibration_error,benign_precision,benign_surcharge_usd,brier_score,classified_coverage,closes_gap_brier_score,closes_gap_count,closes_gap_mean_probability,closes_gap_observed_toxic_rate,confirmed_test_count,current_rule_benign_surcharge_usd,evaluation_scheme,expected_calibration_error,false_negative,false_positive,fold,log_loss,maximum_calibration_error,mean_toxicity_probability,method,notional_usd_accounting_rate,observed_toxic_rate,primary_lp_loss_usd_conversion_rate,taxed_dollar_resolution_rate,test_count,toxic_lp_loss_available_usd,toxic_lp_loss_left_untaxed_rate,toxic_lp_loss_left_untaxed_usd,toxic_precision,toxic_precision_confidence_lower,toxic_precision_confidence_upper,toxic_recall,toxic_surcharge_available_usd,toxic_surcharge_capture_rate,toxic_surcharge_captured_usd,true_negative,true_positive,unresolved_surcharge_usd,unresolved_taxed_count,widens_gap_brier_score,widens_gap_count,widens_gap_mean_probability,widens_gap_observed_toxic_rate,worst_case_benign_surcharge_usd
14040,250959.27947455744,1012661.9105093487,128827714.41232914,0.11577763608748841,,0.0,0.17112541028175607,0.0,0.1530874817159663,2293,0.7495076560216378,0.8303532490187527,5398,2642.1198965580147,rolling_chronological,0.11682060380497065,0,0,2026-01_to_2026-02,0.5310239307654196,0.4172456116593193,0.5201330481674422,global_offset,1.0,0.48610596517228605,1.0,,14088,207807.1607673362,1.0,207807.1607673362,,0.0,1.0,0.0,933054.95973141,0.0,0.0,0,0,0.0,0,0.18766318325310988,2501,0.30983477715198016,0.1955217912834866,0.0
14088,250959.27947455744,1012661.9106062514,128827714.41943014,0.11422742008090692,,0.0,0.16793399946168594,0.0,0.15011918253542986,2293,0.7948559959319562,0.8303532490187527,5398,2642.1198965580147,rolling_chronological,0.12486045823590967,0,0,2026-01_to_2026-02,0.5338272128284911,0.3213669469333014,0.5196958783438409,global_platt,1.0,0.48610596517228605,1.0,,14088,207807.1607673362,1.0,207807.1607673362,,0.0,1.0,0.0,933054.95973141,0.0,0.0,0,0,0.0,0,0.18426721625972883,2501,0.2674199288718103,0.1955217912834866,0.0
14040,250471.93907013943,1012561.7914434177,128564910.07659245,0.1401284630292216,,0.0020754938988109197,0.18958229548128294,0.006483882919599852,0.1418307852574357,2293,0.8267128535756255,0.8303532490187527,5398,2642.1198965580147,rolling_chronological,0.1423471650932688,0,4,2026-01_to_2026-02,0.5692761135653508,0.45142849787105144,0.6192777781518888,identity,1.0,0.48610596517228605,1.0,0.6538198931887979,14088,207807.1607673362,0.9976548430640287,207319.8203629182,0.8857142857142857,0.7404853135378618,0.9546482066690264,0.011814024390243903,933054.95973141,7.015430781817947e-05,65.45782485627639,0,31,34.65926248366797,13,0.23336246858935236,2501,0.42909440032436863,0.1955217912834866,34.66133797756678
13845,248687.53380707663,1009190.3223439619,125058508.46532744,0.08159101779066333,,20.245058930263546,0.15466082910791942,0.025935531678399407,0.14092110499370944,2293,0.8804762629450883,0.8303532490187527,5398,2642.1198965580147,rolling_chronological,0.07818381727732283,0,19,2026-01_to_2026-02,0.509633388731635,0.11600906121162247,0.5100660779443303,sign_offset,1.0,0.48610596517228605,1.0,0.5208179651485466,14088,207807.1607673362,0.9890690748780935,205535.63625319247,0.8642857142857143,0.7977487912094622,0.9113652628071084,0.04611280487804878,933054.95973141,0.0019160933732295066,1787.8204252002788,0,121,1663.5226812562832,55,0.1672578652510156,2501,0.17046169801360747,0.1955217912834866,1683.7677401865467
14088,250959.27947455744,1012661.9106062514,128827714.41943014,0.07203267062754666,,0.0,0.1501067900569376,0.0,0.13842810742646552,2293,0.8761769453312291,0.8303532490187527,5398,2642.1198965580147,rolling_chronological,0.05287476555650603,0,0,2026-01_to_2026-02,0.4842390307634032,0.0987383286737894,0.5520403892527931,sign_platt,1.0,0.48610596517228605,1.0,,14088,207807.1607673362,1.0,207807.1607673362,,0.0,1.0,0.0,933054.95973141,0.0,0.0,0,0,0.0,0,0.16081419480370787,2501,0.2548612116886771,0.1955217912834866,0.0
1627,2806.6628836418013,14862.387083864509,21124021.21205298,0.2582149034210557,,0.0,0.0844350023410207,0.0,0.017400113020665346,44,0.8738811254724286,1.0,173,0.0,rolling_pool_held_out,0.26648893753923664,0,0,2026-01_to_2026-02:eurc_usdc_500,0.3223924493630419,0.40153920084647454,0.5084120187272786,global_offset,1.0,0.34104046242774566,1.0,,1627,2806.6628836418013,1.0,2806.6628836418013,,0.0,1.0,0.0,5027.145220395233,0.0,0.0,0,0,0.0,0,0.11649516679858196,92,0.33362244593611995,0.0,0.0
1627,2806.6628836418013,14862.387083864509,21124021.21205298,0.2193901485618722,,0.0,0.06601082512383438,0.0,0.0074845674135319154,44,0.9199427570148733,1.0,173,0.0,rolling_pool_held_out,0.22540717756605463,0,0,2026-01_to_2026-02:eurc_usdc_500,0.26829669033595716,0.3682778276994143,0.4971348438697961,global_platt,1.0,0.34104046242774566,1.0,,1627,2806.6628836418013,1.0,2806.6628836418013,,0.0,1.0,0.0,5027.145220395233,0.0,0.0,0,0,0.0,0,0.09400164402876164,92,0.29492236366997665,0.0,0.0
1623,2806.6628836418013,14840.63471610465,21054452.432552855,0.3276154986771286,,0.0,0.1463988471457537,0.0,0.006953205614945265,44,0.920677907589802,1.0,173,0.0,rolling_pool_held_out,0.332968843368404,0,0,2026-01_to_2026-02:eurc_usdc_500,0.4439845641252215,0.5306269086456705,0.6051721953382758,identity,1.0,0.34104046242774566,1.0,0.0,1627,2806.6628836418013,1.0,2806.6628836418013,,0.0,1.0,0.0,5027.145220395233,0.0,0.0,0,0,21.752367759858718,4,0.21309024092135775,92,0.45427815904406765,0.0,21.752367759858718
1614,2236.5144651084893,13345.605395632183,19564563.419943634,0.13852640498693583,,0.0,0.025895907489864547,0.03468208092485549,0.002685821406357492,44,0.9508754795009402,1.0,173,0.0,rolling_pool_held_out,0.1419056123377251,0,0,2026-01_to_2026-02:eurc_usdc_500,0.1569532006084539,0.22823355811616897,0.4336485696618628,sign_offset,1.0,0.34104046242774566,1.0,0.7990877405265526,1627,2806.6628836418013,0.7968589594937342,2236.5144651084893,1.0,0.6096657120978346,1.0,0.1016949152542373,5027.145220395233,0.24109939120205645,1212.0416521216187,0,6,304.74003611070657,7,0.036996383442846184,92,0.18627917799969543,0.0,304.74003611070657
1627,2806.6628836418013,14862.387083864509,21124021.21205298,0.19456971277647941,,0.0,0.04727098169659321,0.0,0.005464351483766299,44,0.9277701538524767,1.0,173,0.0,rolling_pool_held_out,0.19881508416059393,0,0,2026-01_to_2026-02:eurc_usdc_500,0.22740213967408923,0.25935585016684515,0.475607536653373,sign_platt,1.0,0.34104046242774566,1.0,,1627,2806.6628836418013,1.0,2806.6628836418013,,0.0,1.0,0.0,5027.145220395233,0.0,0.0,0,0,0.0,0,0.06726545701577129,92,0.25935585016684515,0.0,0.0
9292,51849.59938703284,45903.70433553448,4188171.366144257,0.26172830940871855,,0.0,0.19464328450841772,0.0,0.1283480356239612,1385,0.838795650488145,0.8534296028880867,3504,52.82688264534558,rolling_pool_held_out,0.2581586232030567,0,0,2026-01_to_2026-02:paxg_usdc_500,0.5740909925494276,0.631765011824495,0.6503600660526142,global_offset,1.0,0.4061073059360731,1.0,,9292,43421.40396926635,1.0,43421.40396926635,,0.0,1.0,0.0,1805.734944888672,0.0,0.0,0,0,0.0,0,0.2517091140329499,1609,0.48815790045708274,0.03915475450590429,0.0
9292,51849.59938703284,45903.70433553448,4188171.366144257,0.27520974164868434,,0.0,0.20391575694019914,0.0,0.1306489680061869,1385,0.79907339361771,0.8534296028880867,3504,52.82688264534558,rolling_pool_held_out,0.28096560946279525,0,0,2026-01_to_2026-02:paxg_usdc_500,0.592459138271132,0.5962307782391154,0.6434613191513094,global_platt,1.0,0.4061073059360731,1.0,,9292,43421.40396926635,1.0,43421.40396926635,,0.0,1.0,0.0,1805.734944888672,0.0,0.0,0,0,0.0,0,0.2669825702861326,1609,0.5095130760587273,0.03915475450590429,0.0
9285,51814.3799211994,45903.68782415528,4188132.265302666,0.2407503064759653,,0.0,0.17775162556929555,0.001997716894977169,0.13016595596943428,1385,0.8169299225250556,0.8534296028880867,3504,52.82688264534558,rolling_pool_held_out,0.24223762447078515,0,0,2026-01_to_2026-02:paxg_usdc_500,0.5390382752034822,0.5771515464771831,0.6197760040414857,identity,1.0,0.4061073059360731,1.0,1.0,9292,43421.40396926635,0.9991888915923038,43386.18450343291,1.0,0.6456695649333126,1.0,0.004919184820801124,1805.734944888672,9.143855389836049e-06,0.016511379208435584,0,7,0.0,0,0.2187125655293999,1609,0.4500692438800536,0.03915475450590429,0.0
9292,51849.59938703284,45903.70433553448,4188171.366144257,0.27031984480392657,,0.0,0.2034712733060751,0.0,0.12944492477680836,1385,0.8243083621027523,0.8534296028880867,3504,52.82688264534558,rolling_pool_held_out,0.2723796005320163,0,0,2026-01_to_2026-02:paxg_usdc_500,0.5925357222114637,0.6257695365492925,0.6527368029646531,sign_offset,1.0,0.4061073059360731,1.0,,9292,43421.40396926635,1.0,43421.40396926635,,0.0,1.0,0.0,1805.734944888672,0.0,0.0,0,0,0.0,0,0.2671919027113171,1609,0.5050509052603229,0.03915475450590429,0.0
9292,51849.59938703284,45903.70433553448,4188171.366144257,0.2429955724281612,,0.0,0.17446694202031532,0.0,0.12827486964694307,1385,0.8165040017491582,0.8534296028880867,3504,52.82688264534558,rolling_pool_held_out,0.24520794023115194,0,0,2026-01_to_2026-02:paxg_usdc_500,0.5317889447738587,0.5048037918956697,0.6225320447818119,sign_platt,1.0,0.4061073059360731,1.0,,9292,43421.40396926635,1.0,43421.40396926635,,0.0,1.0,0.0,1805.734944888672,0.0,0.0,0,0,0.0,0,0.21422829704649346,1609,0.4555642633027725,0.03915475450590429,0.0
3169,196303.0172038828,951895.8191868525,103515521.8412329,0.22600044500325794,,0.0,0.27163004557700243,0.0,0.1766485263198888,864,0.7231731331373525,0.7847222222222222,1721,2589.2930139126693,rolling_pool_held_out,0.23200734017057023,0,0,2026-01_to_2026-02:weth_usdc_3000,0.8013668378819697,0.39282074091730274,0.45870922397177993,global_offset,1.0,0.663567693201627,1.0,,3169,161579.09391442806,1.0,161579.09391442806,,0.0,1.0,0.0,926222.0795661261,0.0,0.0,0,0,0.0,0,0.37421008637468517,800,0.17308820207296158,0.5325,0.0
1839,152722.64560832523,941035.0069539137,87618520.00668924,0.3084090198881314,0.51440329218107,151.0083772975168,0.3274637766627224,0.4543869843114468,0.19104211543514774,864,0.8560185077360175,0.7847222222222222,1721,2589.2930139126693,rolling_pool_held_out,0.3154839103331149,236,56,2026-01_to_2026-02:weth_usdc_3000,1.4632689663211111,0.612483343604631,0.4720866417438337,global_platt,1.0,0.663567693201627,1.0,0.5364634766028827,3169,161579.09391442806,0.9385421124340331,151648.78412762433,0.8108108108108109,0.7623190674277887,0.8513385659218158,0.21015761821366025,926222.0795661261,0.0029518276512486594,2734.047945660327,250,240,2492.861184543805,148,0.47479917078850314,800,0.05744022647227518,0.5325,2643.8695618413217
