abstain_notional_usd,abstain_positive_lp_loss_usd,all_horizons_observed,all_horizons_observed_rate,any_label_disagreement,any_label_disagreement_rate,count,dimension,group,legacy_abstain,legacy_benign,legacy_toxic,missing_economic_accounting,missing_economic_accounting_rate,missing_usd_conversion,missing_usd_conversion_rate,notional_usd,positive_lp_loss_usd,primary_observed,primary_observed_rate,resolved_label_conflict,resolved_label_conflict_rate,v3_abstain,v3_abstain_rate,v3_benign,v3_benign_rate,v3_toxic,v3_toxic_rate
430497726.50083584,459644.1083635586,82622,0.9260479713068819,46090,0.5165882089217664,89220,month,2025-10,62432,6143,20645,0,0.0,26536,0.2974221026675633,1126918210.2173667,7274493.743589352,84315,0.9450235373234701,927,0.010390047074646941,42181,0.47277516251961443,17922,0.20087424344317417,29117,0.3263505940372114
47817377.34209232,20025.31638567335,5676,0.48633364750235625,5389,0.4617427812526776,11671,month,2026-01,8235,1535,1901,0,0.0,5261,0.4507754262702425,104299543.37595041,601206.2633477474,6410,0.5492245737297575,50,0.004284123040013709,6632,0.5682460800274184,2420,0.20735155513666353,2619,0.22440236483591808
42093136.324042894,43152.11870722126,6514,0.4623793299261783,5903,0.4190090857467348,14088,month,2026-02,10679,1235,2174,0,0.0,6386,0.45329358319136853,75442839.05678497,250959.27947455752,7702,0.5467064168086314,60,0.004258943781942078,8690,0.6168370244179443,2774,0.1969051675184554,2624,0.18625780806360023
28313381.170266468,8285.50936728178,3884,0.4326612454049237,3884,0.4326612454049237,8977,month,2026-03,6244,1033,1700,0,0.0,4186,0.46630277375515206,45986758.27965433,129029.3598758018,4791,0.5336972262448479,26,0.0028962905202183356,5628,0.6269355018380305,1563,0.17411161858081764,1786,0.19895287958115182
15675184.64733109,8290.009492544292,2329,0.5435239206534422,2011,0.46931155192532087,4285,month,2026-04,2622,704,959,0,0.0,1540,0.35939323220536756,26646194.513564132,47343.74960360344,2745,0.6406067677946324,29,0.00676779463243874,2412,0.5628938156359393,906,0.21143523920653443,967,0.22567094515752625
8106272.097084517,1583.2930615868054,1420,0.46511627906976744,1380,0.4520144120537177,3053,month,2026-05,1990,335,728,0,0.0,1216,0.3982967572879135,16112179.365683261,19029.360876684623,1837,0.6017032427120864,63,0.020635440550278415,1801,0.5899115623976416,645,0.2112676056338028,607,0.19882083196855552
10870330.253460811,3918.629808135895,2350,0.5271422162404665,2168,0.48631673396141767,4458,month,2026-06,2810,459,1189,0,0.0,1643,0.3685509196949305,19399546.419722874,40970.87449411186,2815,0.6314490803050695,28,0.006280843427545985,2710,0.6078959174517721,791,0.17743382682817407,957,0.21467025572005383
583373408.3351096,544898.9851860025,104795,0.7719591608226767,66825,0.4922579409511462,135752,overall,all,95012,11444,29296,0,0.0,46768,0.34451057811302965,1414805271.2287133,8363032.6312618265,110615,0.8148314573634274,1183,0.008714420413695563,70054,0.5160439625198892,27021,0.19904679120749602,38677,0.28490924627261477
71301714.86864017,922.915164642628,304,0.04527177959791512,3179,0.47341772151898737,6715,pool,eurc_usdc_500,4002,887,1826,0,0.0,5525,0.8227848101265823,79682027.42251903,4829.392647211793,1190,0.17721518987341772,74,0.011020104244229337,6079,0.9052866716306776,469,0.06984363365599404,167,0.02486969471332837
0.0,0.0,14785,0.9999323684566482,8492,0.5743270661436494,14786,pool,link_weth_3000,12049,275,2462,0,0.0,14786,1.0,0.0,0.0,14785,0.9999323684566482,42,0.00284052482077641,5407,0.3656837549032869,1475,0.09975652644393344,7904,0.5345597186527796
33455452.396022573,11464.049514874672,10424,0.390499737768787,10578,0.39626882445493367,26694,pool,paxg_usdc_500,19799,3622,3273,0,0.0,13344,0.4998876151944257,59390416.943744585,112523.64310441504,13350,0.5001123848055743,101,0.0037836217876676408,16124,0.604030868359931,6241,0.23379785719637372,4329,0.16217127444369522
