base_train_count,branch,calibration_count,evaluation_scheme,fold,group_support,heldout_pool,intercept,kind,purge_seconds,slope,support,target,test_count
89220,closes_gap,11505,rolling_chronological,2026-01_to_2026-02,12,,-2.422525130916674,platt,3600,0.14513154638473352,4250,resolution,14088
89220,widens_gap,11505,rolling_chronological,2026-01_to_2026-02,12,,-0.20081257457065124,platt,3600,1.3730149691639117,5897,resolution,14088
89220,zero_gap,11505,rolling_chronological,2026-01_to_2026-02,12,,-0.31746103009698196,platt,3600,1.1555029756137967,10147,resolution,14088
89220,closes_gap,11505,rolling_chronological,2026-01_to_2026-02,6,,-1.02202434077504,platt,3600,0.7765600581736335,257,conditional_toxicity,14088
89220,widens_gap,11505,rolling_chronological,2026-01_to_2026-02,10,,-0.36712831778696137,platt,3600,1.0000181278755883e-06,2453,conditional_toxicity,14088
89220,zero_gap,11505,rolling_chronological,2026-01_to_2026-02,10,,-1.6816001330666874,platt,3600,0.5685953984763582,2710,conditional_toxicity,14088
89220,closes_gap,10000,rolling_pool_held_out,2026-01_to_2026-02,8,eurc_usdc_500,-2.4079585481592285,platt,3600,0.23637607784408543,3618,resolution,1627
89220,widens_gap,10000,rolling_pool_held_out,2026-01_to_2026-02,8,eurc_usdc_500,0.04674427449899383,platt,3600,1.902078581609284,5214,resolution,1627
89220,zero_gap,10000,rolling_pool_held_out,2026-01_to_2026-02,8,eurc_usdc_500,-0.10241901059219843,platt,3600,1.6015913524778795,8832,resolution,1627
89220,closes_gap,10000,rolling_pool_held_out,2026-01_to_2026-02,5,eurc_usdc_500,0.9270420545660314,platt,3600,0.3960995771186646,192,conditional_toxicity,1627
89220,widens_gap,10000,rolling_pool_held_out,2026-01_to_2026-02,7,eurc_usdc_500,-1.0157400354388444,platt,3600,1.000006062851416e-06,2157,conditional_toxicity,1627
89220,zero_gap,10000,rolling_pool_held_out,2026-01_to_2026-02,7,eurc_usdc_500,-2.3103901969072558,platt,3600,0.6993755329832917,2349,conditional_toxicity,1627
89220,closes_gap,4167,rolling_pool_held_out,2026-01_to_2026-02,8,paxg_usdc_500,-2.0477622905388952,platt,3600,0.30058361082812796,1698,resolution,9292
89220,widens_gap,4167,rolling_pool_held_out,2026-01_to_2026-02,8,paxg_usdc_500,-0.006055283995806229,platt,3600,0.5335588448164612,2105,resolution,9292
89220,zero_gap,4167,rolling_pool_held_out,2026-01_to_2026-02,8,paxg_usdc_500,-0.18375180320589765,platt,3600,0.868800138859587,3803,resolution,9292
89220,closes_gap,4167,rolling_pool_held_out,2026-01_to_2026-02,7,paxg_usdc_500,-0.7025406385296667,platt,3600,0.4675858217755258,1227,conditional_toxicity,9292
89220,widens_gap,4167,rolling_pool_held_out,2026-01_to_2026-02,7,paxg_usdc_500,-0.5848937188039953,platt,3600,0.33531889208350496,1141,conditional_toxicity,9292
89220,zero_gap,4167,rolling_pool_held_out,2026-01_to_2026-02,7,paxg_usdc_500,-0.7025406385296667,platt,3600,0.4675858217755258,1227,conditional_toxicity,9292
63494,closes_gap,8843,rolling_pool_held_out,2026-01_to_2026-02,8,weth_usdc_3000,-2.5149116755815504,platt,3600,0.005056744708909723,3184,resolution,3169
63494,widens_gap,8843,rolling_pool_held_out,2026-01_to_2026-02,8,weth_usdc_3000,-0.17531980801122538,platt,3600,1.5676690119275534,4475,resolution,3169
63494,zero_gap,8843,rolling_pool_held_out,2026-01_to_2026-02,8,weth_usdc_3000,-0.3801926829601038,platt,3600,1.1356841889114841,7659,resolution,3169
63494,closes_gap,8843,rolling_pool_held_out,2026-01_to_2026-02,6,weth_usdc_3000,-2.2420837013463495,platt,3600,0.75930594076919,1844,conditional_toxicity,3169
63494,widens_gap,8843,rolling_pool_held_out,2026-01_to_2026-02,6,weth_usdc_3000,-0.17534194991376914,platt,3600,1.0000010982541905e-06,1608,conditional_toxicity,3169
63494,zero_gap,8843,rolling_pool_held_out,2026-01_to_2026-02,6,weth_usdc_3000,-2.2420837013463495,platt,3600,0.75930594076919,1844,conditional_toxicity,3169
100725,closes_gap,14026,rolling_chronological,2026-02_to_2026-03,12,,-3.1287120839119624,platt,3600,0.013080083025706032,5632,resolution,8977
100725,widens_gap,14026,rolling_chronological,2026-02_to_2026-03,12,,-0.5948300008811831,platt,3600,0.8973894884485132,5679,resolution,8977
100725,zero_gap,14026,rolling_chronological,2026-02_to_2026-03,12,,-0.710237660019977,platt,3600,0.9651614419109457,11311,resolution,8977
100725,closes_gap,14026,rolling_chronological,2026-02_to_2026-03,6,,1.0412846026562064,platt,3600,0.45969104595909793,229,conditional_toxicity,8977
100725,widens_gap,14026,rolling_chronological,2026-02_to_2026-03,10,,-0.6823340396533244,platt,3600,0.3015285560040623,1747,conditional_toxicity,8977
100725,zero_gap,14026,rolling_chronological,2026-02_to_2026-03,10,,-0.8565608933735487,platt,3600,0.6030801610222852,1976,conditional_toxicity,8977
99220,closes_gap,12406,rolling_pool_held_out,2026-02_to_2026-03,8,eurc_usdc_500,-3.015485057446461,platt,3600,0.00689868345718063,4958,resolution,1651
99220,widens_gap,12406,rolling_pool_held_out,2026-02_to_2026-03,8,eurc_usdc_500,-0.518919295438665,platt,3600,1.3022039626972433,5026,resolution,1651
99220,zero_gap,12406,rolling_pool_held_out,2026-02_to_2026-03,8,eurc_usdc_500,-0.5959523566327398,platt,3600,1.100568258626726,9984,resolution,1651
99220,closes_gap,12406,rolling_pool_held_out,2026-02_to_2026-03,5,eurc_usdc_500,0.38732117471692573,platt,3600,0.614416047921316,228,conditional_toxicity,1651
99220,widens_gap,12406,rolling_pool_held_out,2026-02_to_2026-03,8,eurc_usdc_500,-0.7185338114417622,platt,3600,0.058973641370221666,1527,conditional_toxicity,1651
99220,zero_gap,12406,rolling_pool_held_out,2026-02_to_2026-03,8,eurc_usdc_500,-0.979273202843573,platt,3600,0.5955335480924292,1755,conditional_toxicity,1651
93387,closes_gap,4770,rolling_pool_held_out,2026-02_to_2026-03,8,paxg_usdc_500,-4.252733927138208,platt,3600,0.23133164192761319,2065,resolution,5393
93387,widens_gap,4770,rolling_pool_held_out,2026-02_to_2026-03,8,paxg_usdc_500,-0.11178325187158471,platt,3600,0.7244254741196897,1993,resolution,5393
93387,zero_gap,4770,rolling_pool_held_out,2026-02_to_2026-03,8,paxg_usdc_500,-0.44364030309699154,platt,3600,1.4567665020826934,4058,resolution,5393
93387,closes_gap,4770,rolling_pool_held_out,2026-02_to_2026-03,6,paxg_usdc_500,-0.5078536031480528,platt,3600,0.28500548281914806,1090,conditional_toxicity,5393
93387,widens_gap,4770,rolling_pool_held_out,2026-02_to_2026-03,6,paxg_usdc_500,-0.5965086897253451,platt,3600,0.38829163962459307,1075,conditional_toxicity,5393
93387,zero_gap,4770,rolling_pool_held_out,2026-02_to_2026-03,6,paxg_usdc_500,-0.5078536031480528,platt,3600,0.28500548281914806,1090,conditional_toxicity,5393
72337,closes_gap,10876,rolling_pool_held_out,2026-02_to_2026-03,8,weth_usdc_3000,-2.561212662678465,platt,3600,1.0000103128723835e-06,4241,resolution,1933
72337,widens_gap,10876,rolling_pool_held_out,2026-02_to_2026-03,8,weth_usdc_3000,-0.9427106007068948,platt,3600,0.6686961192195294,4339,resolution,1933
72337,zero_gap,10876,rolling_pool_held_out,2026-02_to_2026-03,8,weth_usdc_3000,-1.132789850780981,platt,3600,0.6827283554286186,8580,resolution,1933
72337,closes_gap,10876,rolling_pool_held_out,2026-02_to_2026-03,4,weth_usdc_3000,3.0985895797648517,platt,3600,0.2569655302665917,215,conditional_toxicity,1933
72337,widens_gap,10876,rolling_pool_held_out,2026-02_to_2026-03,6,weth_usdc_3000,-0.7174004200449304,platt,3600,0.41706119983259676,892,conditional_toxicity,1933
72337,zero_gap,10876,rolling_pool_held_out,2026-02_to_2026-03,6,weth_usdc_3000,-0.8293892522488201,platt,3600,0.6392604170905477,1107,conditional_toxicity,1933
114917,closes_gap,8904,rolling_chronological,2026-03_to_2026-04,12,,-1.927297452899146,platt,3600,0.2604198384471041,3901,resolution,4285
114917,widens_gap,8904,rolling_chronological,2026-03_to_2026-04,12,,0.30333915439529996,platt,3600,0.6272025374357072,4037,resolution,4285
114917,zero_gap,8904,rolling_chronological,2026-03_to_2026-04,12,,0.169850601468292,platt,3600,0.8401313677215765,7938,resolution,4285
114917,closes_gap,8904,rolling_chronological,2026-03_to_2026-04,7,,4.418116038363121,platt,3600,1.000005035414441e-06,239,conditional_toxicity,4285
114917,widens_gap,8904,rolling_chronological,2026-03_to_2026-04,11,,-1.294931795023824,platt,3600,0.9904982188150344,1995,conditional_toxicity,4285
114917,zero_gap,8904,rolling_chronological,2026-03_to_2026-04,11,,-1.3454649488804293,platt,3600,1.0725209848993413,2234,conditional_toxicity,4285
111759,closes_gap,7277,rolling_pool_held_out,2026-03_to_2026-04,8,eurc_usdc_500,-2.0646249897097624,platt,3600,0.15714683144309885,3246,resolution,781
111759,widens_gap,7277,rolling_pool_held_out,2026-03_to_2026-04,8,eurc_usdc_500,0.2549024441980948,platt,3600,0.6653237495554167,3242,resolution,781
111759,zero_gap,7277,rolling_pool_held_out,2026-03_to_2026-04,8,eurc_usdc_500,0.0982031243240246,platt,3600,0.8052685303795705,6488,resolution,781
111759,closes_gap,7277,rolling_pool_held_out,2026-03_to_2026-04,6,eurc_usdc_500,4.642999123356326,platt,3600,1.000002145881767e-06,238,conditional_toxicity,781
111759,widens_gap,7277,rolling_pool_held_out,2026-03_to_2026-04,8,eurc_usdc_500,-1.174486806798145,platt,3600,0.4337510416878056,1524,conditional_toxicity,781
111759,zero_gap,7277,rolling_pool_held_out,2026-03_to_2026-04,8,eurc_usdc_500,-1.44090085232619,platt,3600,0.9146257244664927,1762,conditional_toxicity,781
98256,closes_gap,3543,rolling_pool_held_out,2026-03_to_2026-04,8,paxg_usdc_500,-2.0072574560259846,platt,3600,1.0426817090236538,1460,resolution,1678
98256,widens_gap,3543,rolling_pool_held_out,2026-03_to_2026-04,8,paxg_usdc_500,0.4562058648907504,platt,3600,0.5352159507008338,1759,resolution,1678
98256,zero_gap,3543,rolling_pool_held_out,2026-03_to_2026-04,8,paxg_usdc_500,0.2383644242284236,platt,3600,1.2759337234349184,3219,resolution,1678
98256,closes_gap,3543,rolling_pool_held_out,2026-03_to_2026-04,7,paxg_usdc_500,-1.4809535453430955,platt,3600,1.2750469794558725,1121,conditional_toxicity,1678
98256,widens_gap,3543,rolling_pool_held_out,2026-03_to_2026-04,7,paxg_usdc_500,-1.618292644649421,platt,3600,1.4446988316250586,1111,conditional_toxicity,1678
98256,zero_gap,3543,rolling_pool_held_out,2026-03_to_2026-04,7,paxg_usdc_500,-1.4809535453430955,platt,3600,1.2750469794558725,1121,conditional_toxicity,1678
83313,closes_gap,6988,rolling_pool_held_out,2026-03_to_2026-04,8,weth_usdc_3000,-1.9821537348370482,platt,3600,0.17402866283525445,3096,resolution,1826
83313,widens_gap,6988,rolling_pool_held_out,2026-03_to_2026-04,8,weth_usdc_3000,0.295823202462247,platt,3600,0.5937580210239398,3073,resolution,1826
83313,zero_gap,6988,rolling_pool_held_out,2026-03_to_2026-04,8,weth_usdc_3000,0.12614898750829173,platt,3600,0.7439169386718144,6169,resolution,1826
83313,closes_gap,6988,rolling_pool_held_out,2026-03_to_2026-04,4,weth_usdc_3000,4.7519310505987775,platt,3600,1.0000016219063145e-06,230,conditional_toxicity,1826
83313,widens_gap,6988,rolling_pool_held_out,2026-03_to_2026-04,7,weth_usdc_3000,-1.4077076593583329,platt,3600,1.1677729641182573,1355,conditional_toxicity,1826
83313,zero_gap,6988,rolling_pool_held_out,2026-03_to_2026-04,7,weth_usdc_3000,-1.3806349388584611,platt,3600,1.1343045161425978,1585,conditional_toxicity,1826
123883,closes_gap,4269,rolling_chronological,2026-04_to_2026-05,12,,2.404413214989855,platt,3600,1.7424106896815792,1630,resolution,3053
123883,widens_gap,4269,rolling_chronological,2026-04_to_2026-05,12,,-0.26504685258962735,platt,3600,1.0678036770446213,2062,resolution,3053
123883,zero_gap,4269,rolling_chronological,2026-04_to_2026-05,12,,-0.15482304172195294,platt,3600,0.8195886166546089,3692,resolution,3053
123883,closes_gap,4269,rolling_chronological,2026-04_to_2026-05,8,,3.6883440073780465,platt,3600,0.026700643345899385,143,conditional_toxicity,3053
123883,widens_gap,4269,rolling_chronological,2026-04_to_2026-05,10,,-0.5357973657875434,platt,3600,1.000023511291029e-06,1026,conditional_toxicity,3053
123883,zero_gap,4269,rolling_chronological,2026-04_to_2026-05,10,,-1.6782157255965393,platt,3600,0.6637415026336169,1169,conditional_toxicity,3053
119091,closes_gap,3489,rolling_pool_held_out,2026-04_to_2026-05,8,eurc_usdc_500,2.2805003972196625,platt,3600,1.670581456806565,1299,resolution,548
119091,widens_gap,3489,rolling_pool_held_out,2026-04_to_2026-05,8,eurc_usdc_500,-0.08389345462256612,platt,3600,1.280790056094805,1671,resolution,548
