window_id,pool,regime,lp_net_vs_fixed_fee_quote,lp_net_vs_hook_quote,fill_rate,fallback_rate
dai_usdc_100_normal_4h_p01,dai_usdc_100,normal,8.243823499524881,0.0,,
dai_usdc_100_normal_4h_p02,dai_usdc_100,normal,13.669082793343469,0.0,,
dai_usdc_100_normal_4h_p03,dai_usdc_100,normal,13.747584191576893,0.0,,
dai_usdc_100_normal_4h_p04,dai_usdc_100,normal,14.339490957885936,0.0,,
link_weth_3000_normal_500block_p01,link_weth_3000,normal,0.0,0.0,,
link_weth_3000_normal_500block_p02,link_weth_3000,normal,19.483480402707528,0.0,,
link_weth_3000_normal_500block_p03,link_weth_3000,normal,77.79595898273783,0.0,,
link_weth_3000_stress_500block_p01,link_weth_3000,stress,0.0,0.0,,
link_weth_3000_stress_500block_p02,link_weth_3000,stress,0.0,0.0,,
link_weth_3000_stress_500block_p03,link_weth_3000,stress,0.0,0.0,,
uni_weth_3000_normal_500block_p01,uni_weth_3000,normal,0.0,0.0,,
uni_weth_3000_normal_500block_p02,uni_weth_3000,normal,0.0029789266141051485,0.0,,
uni_weth_3000_normal_500block_p03,uni_weth_3000,normal,0.003351012738448844,0.0,,
uni_weth_3000_stress_500block_p01,uni_weth_3000,stress,0.012072387233140969,0.0,,
wbtc_usdc_500_normal_4h_p01,wbtc_usdc_500,normal,0.0001282911913449165,0.0,,
wbtc_usdc_500_normal_4h_p02,wbtc_usdc_500,normal,0.00013738285985676058,0.0,,
wbtc_usdc_500_normal_4h_p03,wbtc_usdc_500,normal,0.0003176580715216204,0.0,,
wbtc_usdc_500_normal_4h_p04,wbtc_usdc_500,normal,0.000557177300394951,0.0,,
wbtc_usdc_500_normal_4h_p05,wbtc_usdc_500,normal,0.0005730991556820442,0.0,,
wbtc_usdc_500_normal_4h_p06,wbtc_usdc_500,normal,0.0005731012915202172,0.0,,
wbtc_usdc_500_stress_2h_p01,wbtc_usdc_500,stress,0.00010490913279239365,0.0,,
wbtc_usdc_500_stress_2h_p02,wbtc_usdc_500,stress,0.0005225200046761278,0.0,,
wbtc_usdc_500_stress_2h_p03,wbtc_usdc_500,stress,0.037533657724046585,0.0,,
wbtc_usdc_500_stress_2h_p04,wbtc_usdc_500,stress,0.0375483229339767,0.0,,
wbtc_weth_500_normal_4h_p01,wbtc_weth_500,normal,0.0038178669992904642,0.0,,
wbtc_weth_500_normal_4h_p02,wbtc_weth_500,normal,0.015359907937778966,0.0,,
wbtc_weth_500_normal_4h_p03,wbtc_weth_500,normal,0.017588459990708745,0.0,,
wbtc_weth_500_normal_4h_p04,wbtc_weth_500,normal,0.017709437038053874,0.0,,
wbtc_weth_500_normal_4h_p05,wbtc_weth_500,normal,0.018253335040089656,0.0,,
wbtc_weth_500_normal_4h_p06,wbtc_weth_500,normal,0.01882229408902586,0.0,,
weth_usdc_3000_normal_4h_p01,weth_usdc_3000,normal,1.4923859434692002,0.10760784392820816,1.0,0.0
weth_usdc_3000_normal_4h_p02,weth_usdc_3000,normal,62.13833588533004,0.8704739730310393,1.0,0.0
weth_usdc_3000_normal_4h_p03,weth_usdc_3000,normal,275.06947230274454,4.735148029605625,1.0,0.0
weth_usdc_3000_normal_4h_p04,weth_usdc_3000,normal,318.98583246003363,17.061416706559612,1.0,0.0
weth_usdc_3000_normal_4h_p05,weth_usdc_3000,normal,320.20443257731677,17.061416706559612,1.0,0.0
weth_usdc_3000_normal_4h_p06,weth_usdc_3000,normal,392.11712704454294,17.09854771155551,1.0,0.0
weth_usdc_3000_stress_2h_p01,weth_usdc_3000,stress,45.78040511432735,0.0,,
weth_usdc_3000_stress_2h_p02,weth_usdc_3000,stress,111.5543172761827,0.0,,
weth_usdc_3000_stress_2h_p03,weth_usdc_3000,stress,475.49718158352334,0.5005494291472132,1.0,0.0
weth_usdc_3000_stress_2h_p04,weth_usdc_3000,stress,489.3837987283914,2.0658249369298574,1.0,0.0
weth_usdc_3000_stress_6h_p01,weth_usdc_3000,stress,69.9557622793418,0.0,,
weth_usdc_3000_stress_6h_p02,weth_usdc_3000,stress,475.4971815835306,0.5005494291544892,1.0,0.0
weth_usdc_3000_stress_6h_p03,weth_usdc_3000,stress,915.2961190378264,2.5940334441838786,1.0,0.0
weth_usdc_3000_stress_6h_p04,weth_usdc_3000,stress,2014.2248576184793,5.815441564045614,1.0,0.0
weth_usdc_3000_stress_6h_p05,weth_usdc_3000,stress,2585.3992278650694,15.039003392070299,1.0,0.0
weth_usdc_3000_stress_6h_p06,weth_usdc_3000,stress,2749.540130037465,15.113496656063944,1.0,0.0
weth_usdc_500_normal_4h_p01,weth_usdc_500,normal,624.9257391771391,1.7026461305795237,1.0,0.0
weth_usdc_500_normal_4h_p02,weth_usdc_500,normal,867.7233515749685,2.548590843915008,1.0,0.0
weth_usdc_500_normal_4h_p03,weth_usdc_500,normal,931.3722223429941,2.5485908440314233,1.0,0.0
weth_usdc_500_normal_4h_p04,weth_usdc_500,normal,8998.777901078342,4.0597718064673245,1.0,0.0
weth_usdc_500_normal_4h_p05,weth_usdc_500,normal,20265.940837886417,10.019926254171878,1.0,0.0
weth_usdc_500_normal_4h_p06,weth_usdc_500,normal,21340.949482785538,10.109111431054771,1.0,0.0
weth_usdc_500_normal_4h_p07,weth_usdc_500,normal,21493.91219650861,10.10911143058911,1.0,0.0
weth_usdc_500_normal_4h_p08,weth_usdc_500,normal,21803.577131862752,10.10911143058911,1.0,0.0
