trigger_gap_bps,base_fee_bps,start_concession_bps,concession_growth_bps_per_sec,max_fee_bps,outcome,pools_passing_acceptance,min_clear_rate,mean_clear_rate,mean_recapture_pct,std_recapture_pct,min_recapture_pct,max_recapture_pct,mean_gain_vs_v3_pp,min_gain_vs_v3_pp,mean_solver_payout_bps,total_trigger_events
10,5,10,0.5,2500,all four pools pass,4,1.0,1.0,99.90000106897482,1.8515186967826002e-06,99.9,99.90000427589928,66.99396646856667,47.329069065937524,9.999878718316218,7414
10,5,10,0.5,5000,all four pools pass,4,1.0,1.0,99.90000106897482,1.8515186967826002e-06,99.9,99.90000427589928,66.99396646856667,47.329069065937524,9.999878718316218,7414
10,5,10,1,2500,all four pools pass,4,1.0,1.0,99.90000106897482,1.8515186967826002e-06,99.9,99.90000427589928,66.99396646856667,47.329069065937524,9.999878718316218,7414
10,5,10,1,5000,all four pools pass,4,1.0,1.0,99.90000106897482,1.8515186967826002e-06,99.9,99.90000427589928,66.99396646856667,47.329069065937524,9.999878718316218,7414
10,5,10,5,2500,all four pools pass,4,1.0,1.0,99.90000106897482,1.8515186967826002e-06,99.9,99.90000427589928,66.99396646856667,47.329069065937524,9.999878718316218,7414
10,5,10,5,5000,all four pools pass,4,1.0,1.0,99.90000106897482,1.8515186967826002e-06,99.9,99.90000427589928,66.99396646856667,47.329069065937524,9.999878718316218,7414
5,1,10,0.5,2500,all four pools pass,4,1.0,1.0,99.89350045374594,0.0044073590088971335,99.88609916291459,99.89759036978268,66.9874658533378,47.32362933248823,9.998505511591494,7786
5,1,10,0.5,5000,all four pools pass,4,1.0,1.0,99.89350045374594,0.0044073590088971335,99.88609916291459,99.89759036978268,66.9874658533378,47.32362933248823,9.998505511591494,7786
5,1,10,1,2500,all four pools pass,4,1.0,1.0,99.89350045374594,0.0044073590088971335,99.88609916291459,99.89759036978268,66.9874658533378,47.32362933248823,9.998505511591494,7786
5,1,10,1,5000,all four pools pass,4,1.0,1.0,99.89350045374594,0.0044073590088971335,99.88609916291459,99.89759036978268,66.9874658533378,47.32362933248823,9.998505511591494,7786
5,1,10,5,2500,all four pools pass,4,1.0,1.0,99.89350045374594,0.0044073590088971335,99.88609916291459,99.89759036978268,66.9874658533378,47.32362933248823,9.998505511591494,7786
5,1,10,5,5000,all four pools pass,4,1.0,1.0,99.89350045374594,0.0044073590088971335,99.88609916291459,99.89759036978268,66.9874658533378,47.32362933248823,9.998505511591494,7786
