stress_threshold_pct,pool,regime,window_count,mean_realized_vol_annualised_pct,mean_dutch_auction_lp_net_vs_hook_quote,mean_dutch_auction_lp_net_vs_fixed_fee_quote,mean_dutch_auction_trigger_rate,mean_dutch_auction_fill_rate,dutch_auction_lp_net_vs_hook_quote_positive_window_count,dutch_auction_lp_net_vs_hook_quote_unchanged_window_count,dutch_auction_lp_net_vs_hook_quote_negative_window_count,dutch_auction_lp_net_vs_fixed_fee_quote_positive_window_count,dutch_auction_lp_net_vs_fixed_fee_quote_unchanged_window_count,dutch_auction_lp_net_vs_fixed_fee_quote_negative_window_count
80.0,all,normal,68,52.12422998763941,1429.4845876015004,8181.303825137674,0.06472293275142611,0.9583769843611982,30,38,0,68,0,0
80.0,all,stress,56,132.4538031017403,1144.1240522409314,4925.444063897312,0.004815280625877928,0.9982456140350877,5,51,0,56,0,0
80.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,normal,7,64.72193366076112,3.5314013618099285e-18,0.08274250807368713,0.0,,0,7,0,7,0,0
80.0,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,24,135.1126326691712,0.3024436238306906,3.5142369170390158,0.0009512937595129375,1.0,1,23,0,24,0,0
80.0,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,23,55.70871784600657,5.70196064277594e-16,2.130858644338093,0.0,,0,23,0,23,0,0
80.0,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,stress,8,111.03910054546404,8.310873228807468,41.786347680021144,0.005280029869852785,1.0,2,6,0,8,0,0
80.0,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,30,41.92889953820185,3240.1650652300677,18542.3645981189,0.14670531423656585,0.9583769843611982,30,0,0,30,0,0
80.0,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,stress,1,168.18161264143723,63947.23130446069,274916.12614215026,0.16654492330168005,0.9912280701754386,1,0,0,1,0,0
80.0,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,normal,8,69.02832586624315,7.28583859910259e-17,1.0166524273159108,0.0,,0,8,0,8,0,0
80.0,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,stress,23,135.5745814187912,2.1726081838725713,21.30908559348179,0.0016538914156674408,1.0,1,22,0,23,0,0
