pool,trigger_gap_bps,base_fee_bps,start_concession_bps,concession_growth_bps_per_sec,max_fee_bps,recapture_pct,auction_clear_rate,mean_solver_payout_bps,n_trigger_events,lp_net_quote_token,fixed_fee_v3_recapture_pct,reprice_execution_rate,window_count,pools_outperforming_baseline,mean_recapture_across_pools,std_recapture_across_pools
weth_usdc_3000,5.0,1.0,10.0,0.5,500.0,99.89456026655071,1.0,9.998735065252282,1298,-3620.896957773586,52.57093093406248,1.0,31,4,99.88032641465772,0.017113312364878664
weth_usdc_3000,5.0,1.0,10.0,0.5,2500.0,99.89456026655071,1.0,9.998735065252282,1298,-3620.896957773586,52.57093093406248,1.0,31,4,99.89350045374594,0.0044073590088971335
weth_usdc_3000,5.0,1.0,10.0,0.5,5000.0,99.89456026655071,1.0,9.998735065252282,1298,-3620.896957773586,52.57093093406248,1.0,31,4,99.89350045374594,0.0044073590088971335
weth_usdc_3000,5.0,1.0,10.0,1.0,500.0,99.89456026655071,1.0,9.998735065252282,1298,-3620.896957773586,52.57093093406248,1.0,31,4,99.8678005699288,0.035969142826248315
weth_usdc_3000,5.0,1.0,10.0,1.0,2500.0,99.89456026655071,1.0,9.998735065252282,1298,-3620.896957773586,52.57093093406248,1.0,31,4,99.89350045374594,0.0044073590088971335
weth_usdc_3000,5.0,1.0,10.0,1.0,5000.0,99.89456026655071,1.0,9.998735065252282,1298,-3620.896957773586,52.57093093406248,1.0,31,4,99.89350045374594,0.0044073590088971335
weth_usdc_3000,5.0,1.0,10.0,5.0,500.0,99.89456026655071,1.0,9.998735065252282,1298,-3620.896957773586,52.57093093406248,1.0,31,4,99.40482234054038,0.8157075990772086
weth_usdc_3000,5.0,1.0,10.0,5.0,2500.0,99.89456026655071,1.0,9.998735065252282,1298,-3620.896957773586,52.57093093406248,1.0,31,4,99.89350045374594,0.0044073590088971335
weth_usdc_3000,5.0,1.0,10.0,5.0,5000.0,99.89456026655071,1.0,9.998735065252282,1298,-3620.896957773586,52.57093093406248,1.0,31,4,99.89350045374594,0.0044073590088971335
weth_usdc_3000,5.0,1.0,30.0,0.5,500.0,99.69458556524566,1.0,29.996205195756843,1298,-10488.211241485567,52.57093093406248,1.0,31,4,99.68035913249274,0.017120701900716576
weth_usdc_3000,5.0,1.0,30.0,0.5,2500.0,99.69458556524566,1.0,29.996205195756843,1298,-10488.211241485567,52.57093093406248,1.0,31,4,99.69353034351411,0.004386293749031867
weth_usdc_3000,5.0,1.0,30.0,0.5,5000.0,99.69458556524566,1.0,29.996205195756843,1298,-10488.211241485567,52.57093093406248,1.0,31,4,99.69353034351411,0.004386293749031867
weth_usdc_3000,5.0,1.0,30.0,1.0,500.0,99.69458556524566,1.0,29.996205195756843,1298,-10488.211241485567,52.57093093406248,1.0,31,4,99.66783328776383,0.03597829282750199
weth_usdc_3000,5.0,1.0,30.0,1.0,2500.0,99.69458556524566,1.0,29.996205195756843,1298,-10488.211241485567,52.57093093406248,1.0,31,4,99.69353034351411,0.004386293749031867
weth_usdc_3000,5.0,1.0,30.0,1.0,5000.0,99.69458556524566,1.0,29.996205195756843,1298,-10488.211241485567,52.57093093406248,1.0,31,4,99.69353034351411,0.004386293749031867
weth_usdc_3000,5.0,1.0,30.0,5.0,500.0,99.69458556524566,1.0,29.996205195756843,1298,-10488.211241485567,52.57093093406248,1.0,31,4,99.20485441574195,0.8157186801647355
weth_usdc_3000,5.0,1.0,30.0,5.0,2500.0,99.69458556524566,1.0,29.996205195756843,1298,-10488.211241485567,52.57093093406248,1.0,31,4,99.69353034351411,0.004386293749031867
weth_usdc_3000,5.0,1.0,30.0,5.0,5000.0,99.69458556524566,1.0,29.996205195756843,1298,-10488.211241485567,52.57093093406248,1.0,31,4,99.69353034351411,0.004386293749031867
weth_usdc_3000,5.0,1.0,100.0,0.5,500.0,98.994674110678,1.0,99.98735065252282,1298,-34523.8112344775,52.57093093406248,1.0,31,4,98.98047364491538,0.017146708985723406
weth_usdc_3000,5.0,1.0,100.0,0.5,2500.0,98.994674110678,1.0,99.98735065252282,1298,-34523.8112344775,52.57093093406248,1.0,31,4,98.99363495770271,0.004312565764379665
weth_usdc_3000,5.0,1.0,100.0,0.5,5000.0,98.994674110678,1.0,99.98735065252282,1298,-34523.8112344775,52.57093093406248,1.0,31,4,98.99363495770271,0.004312565764379665
weth_usdc_3000,5.0,1.0,100.0,1.0,500.0,98.994674110678,1.0,99.98735065252282,1298,-34523.8112344775,52.57093093406248,1.0,31,4,98.96794780018645,0.03601037989285709
weth_usdc_3000,5.0,1.0,100.0,1.0,2500.0,98.994674110678,1.0,99.98735065252282,1298,-34523.8112344775,52.57093093406248,1.0,31,4,98.99363495770271,0.004312565764379665
weth_usdc_3000,5.0,1.0,100.0,1.0,5000.0,98.994674110678,1.0,99.98735065252282,1298,-34523.8112344775,52.57093093406248,1.0,31,4,98.99363495770271,0.004312565764379665
