parameter,direction,delta_recapture_mean_pp,delta_recapture_std_pp,pools_improved_of_4
base_fee_bps,up,-0.9809299976990951,0.5595110326225721,0
start_concession_bps,up,-0.6999855075148975,1.2811764103629243e-05,0
trigger_gap_bps,up,-0.5715573264699649,0.4257646016008281,0
start_concession_bps,down,0.19999672197683,3.961771123415204e-06,4
base_fee_bps,down,-0.087401335974535,0.07507694349996813,0
trigger_gap_bps,down,-0.060465920850965,0.04209507393947937,0
max_fee_bps,down,-0.025048137643452498,0.03804468327683616,0
concession_growth_bps_per_sec,down,0.0,0.0,0
concession_growth_bps_per_sec,up,0.0,0.0,0
max_fee_bps,up,0.0,0.0,0
