block_number,block_timestamp,reference_price,pool_price_before,pool_price_after,stale_gap_bps_before,stale_gap_sign,stale_loss_bps,stale_gap_bps_after,residual_gap_bps_after_trade,strategy,auction_open,auction_triggered_this_block,auction_cleared_this_block,fallback_triggered_this_block,agent_traded,auction_trigger_block,auction_clear_block,delay_blocks_if_trade,delay_seconds_if_trade,agent_profit_quote,solver_payment_quote,solver_competition_mode,n_active_solvers,winning_solver_id,winning_solver_required_quote,second_best_solver_required_quote,winning_solver_profit_quote,lp_fee_revenue_quote,gross_lvr_quote,potential_gross_lvr_quote,foregone_gross_lvr_quote,lp_net_quote,cumulative_gap_time_bps_blocks,stale_seconds_to_next_observed_block,gap_time_bps_seconds_to_next_observed_block,fail_closed,rejected_for_unprofitability,latest_oracle_move_bps,block_calendar_policy,reference_update_policy,decision_reason
23479244,1759276811,4146.855604992972,4135.1156296966665,4146.855604992972,28.350697743517898,1,14.185400646560652,0.0,0.0,baseline_no_auction,False,False,False,False,True,,,0,0,263.364158577706,0.0,single,0,,,,0.0,143.36019119444674,406.7243497721527,406.7243497721527,0.0,-263.364158577706,0.0,0,0.0,False,False,,observed_blocks_only,update_in_place,hook_immediate_trade
23479244,1759276811,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,dutch_auction_parameterized,True,True,False,False,False,23479244,,,,0.0,0.0,single,1,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,28.350697743517898,24,680.4167458444296,False,True,,observed_blocks_only,update_in_place,auction_waiting_for_concession
23479244,1759276811,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,28.350697743517898,24,680.4167458444296,False,True,,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23479246,1759276835,4146.855604992972,4146.855604992972,4146.855604992972,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False,,observed_blocks_only,update_in_place,already_repriced
23479246,1759276835,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,dutch_auction_parameterized,True,False,False,False,False,23479244,,,,0.0,0.0,single,1,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,56.701395487035796,36,1020.6251187666444,False,True,,observed_blocks_only,update_in_place,auction_waiting_for_concession
23479246,1759276835,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,56.701395487035796,36,1020.6251187666444,False,True,,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23479249,1759276871,4146.855604992972,4146.855604992972,4146.855604992972,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False,,observed_blocks_only,update_in_place,already_repriced
23479249,1759276871,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,dutch_auction_parameterized,True,False,False,False,False,23479244,,,,0.0,0.0,single,1,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,85.0520932305537,12,340.2083729222148,False,True,,observed_blocks_only,update_in_place,auction_waiting_for_concession
23479249,1759276871,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,85.0520932305537,12,340.2083729222148,False,True,,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23479250,1759276883,4146.855604992972,4146.855604992972,4146.855604992972,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False,,observed_blocks_only,update_in_place,already_repriced
23479250,1759276883,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,dutch_auction_parameterized,True,False,False,False,False,23479244,,,,0.0,0.0,single,1,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,113.40279097407159,12,340.2083729222148,False,True,,observed_blocks_only,update_in_place,auction_waiting_for_concession
23479250,1759276883,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,113.40279097407159,12,340.2083729222148,False,True,,observed_blocks_only,update_in_place,fixed_fee_unprofitable
23479251,1759276895,4146.855604992972,4146.855604992972,4146.855604992972,0.0,0,,0.0,,baseline_no_auction,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False,,observed_blocks_only,update_in_place,already_repriced
23479251,1759276895,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,dutch_auction_parameterized,True,False,False,False,False,23479244,,,,0.0,0.0,single,1,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,141.75348871758948,24,680.4167458444296,False,True,,observed_blocks_only,update_in_place,auction_waiting_for_concession
23479251,1759276895,4146.855604992972,4135.1156296966665,4135.1156296966665,28.350697743517898,1,14.185400646560652,28.350697743517898,,fixed_fee_baseline,False,False,False,False,False,,,,,0.0,0.0,single,0,,,,0.0,0.0,0.0,406.7243497721527,406.7243497721527,0.0,141.75348871758948,24,680.4167458444296,False,True,,observed_blocks_only,update_in_place,fixed_fee_unprofitable
