pool_family,month,window_id,quote_unit,realized_vol_annualised_pct,measured_regime,temperature_multiplier,solver_gas_cost_quote,simulated_block_count,observed_time_span_seconds,trigger_count,clear_count,trade_count,fallback_count,auction_clear_rate,total_lp_net_quote,total_solver_payment_quote,total_winning_solver_profit_quote,total_potential_gross_lvr_quote,total_foregone_gross_lvr_quote,recapture_ratio,stale_time_share,cumulative_stale_time_seconds,cumulative_gap_time_bps_seconds,mean_delay_seconds,mean_effective_start_concession_bps,mean_temperature_at_trigger,mean_minimum_solver_concession_bps,economically_correctable_rate,delta_total_lp_net_quote_vs_temp0,delta_total_solver_payment_quote_vs_temp0,delta_total_foregone_gross_lvr_quote_vs_temp0,delta_stale_time_share_vs_temp0,delta_cumulative_stale_time_seconds_vs_temp0,delta_cumulative_gap_time_bps_seconds_vs_temp0,delta_trigger_count_vs_temp0,delta_clear_count_vs_temp0,delta_trade_count_vs_temp0,delta_fallback_count_vs_temp0,lp_net_outcome_vs_temp0
weth_usdc_3000,2026_01,weth_usdc_3000_month_24136052_24143251_w01,WETH,18.60330536644617,normal,0.0,5.047782716855625e-06,341,85704,22,0,6,22,0.0,-0.28612691185695244,0.0,0.0,7.766109985207997,6.662804652479485,0.7406638911557233,0.8499019882385886,72840,772777.6759092124,1468,10.0,3.168785938743364e-08,3620.785127145795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24136052_24143251_w01,WETH,18.60330536644617,normal,0.25,5.047782716855625e-06,341,85704,22,0,6,22,0.0,-0.28612691185695244,0.0,0.0,7.766109985207997,6.662804652479485,0.7406638911557233,0.8499019882385886,72840,772777.6759092124,1468,10.42589478137103,3.168785938743364e-08,3620.785127145795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24136052_24143251_w01,WETH,18.60330536644617,normal,0.5,5.047782716855625e-06,341,85704,22,0,6,22,0.0,-0.28612691185695244,0.0,0.0,7.766109985207997,6.662804652479485,0.7406638911557233,0.8499019882385886,72840,772777.6759092124,1468,10.85178956274206,3.168785938743364e-08,3620.785127145795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24136052_24143251_w01,WETH,18.60330536644617,normal,1.0,5.047782716855625e-06,341,85704,22,0,6,22,0.0,-0.28612691185695244,0.0,0.0,7.766109985207997,6.662804652479485,0.7406638911557233,0.8499019882385886,72840,772777.6759092124,1468,11.703579125484117,3.168785938743364e-08,3620.785127145795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24136052_24143251_w01,WETH,18.60330536644617,normal,2.0,5.047782716855625e-06,341,85704,22,0,6,22,0.0,-0.28612691185695244,0.0,0.0,7.766109985207997,6.662804652479485,0.7406638911557233,0.8499019882385886,72840,772777.6759092124,1468,13.407158250968234,3.168785938743364e-08,3620.785127145795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24208052_24215251_w11,WETH,41.62573543989503,normal,0.0,4.843187474753745e-06,493,84084,26,0,11,25,0.0,-0.800063435741018,0.0,0.0,31.946280900009512,29.037275587637858,0.7249701015194288,0.4859426287997717,40860,685108.430983337,1078.909090909091,10.0,2.0597863572798294e-07,3970.140216695411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24208052_24215251_w11,WETH,41.62573543989503,normal,0.25,4.843187474753745e-06,493,84084,26,0,11,25,0.0,-0.800063435741018,0.0,0.0,31.946280900009512,29.037275587637858,0.7249701015194288,0.4859426287997717,40860,685108.430983337,1078.909090909091,10.990430394804394,2.0597863572798294e-07,3970.140216695411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24208052_24215251_w11,WETH,41.62573543989503,normal,0.5,4.843187474753745e-06,493,84084,26,0,11,25,0.0,-0.800063435741018,0.0,0.0,31.946280900009512,29.037275587637858,0.7249701015194288,0.4859426287997717,40860,685108.430983337,1078.909090909091,11.980860789608787,2.0597863572798294e-07,3970.140216695411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24208052_24215251_w11,WETH,41.62573543989503,normal,1.0,4.843187474753745e-06,493,84084,26,0,11,25,0.0,-0.800063435741018,0.0,0.0,31.946280900009512,29.037275587637858,0.7249701015194288,0.4859426287997717,40860,685108.430983337,1078.909090909091,13.961721579217572,2.0597863572798294e-07,3970.140216695411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
weth_usdc_3000,2026_01,weth_usdc_3000_month_24208052_24215251_w11,WETH,41.62573543989503,normal,2.0,4.843187474753745e-06,493,84084,26,0,11,25,0.0,-0.800063435741018,0.0,0.0,31.946280900009512,29.037275587637858,0.7249701015194288,0.4859426287997717,40860,685108.430983337,1078.909090909091,17.923443158435145,2.0597863572798294e-07,3970.140216695411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged
