study,month,window_id,window_dir,pair,fee_tier,block_start,block_end,window_idx,analysis_basis,confirmed_label_rate,dutch_auction_fallback_rate,dutch_auction_fill_rate,dutch_auction_lp_net_quote,dutch_auction_lp_net_vs_fixed_fee_quote,dutch_auction_lp_net_vs_hook_quote,dutch_auction_mean_solver_surplus_quote,dutch_auction_min_lp_uplift_quote,dutch_auction_min_lp_uplift_stale_loss_bps,dutch_auction_min_stale_loss_quote,dutch_auction_no_reference_rate,dutch_auction_oracle_failclosed_rate,dutch_auction_oracle_ranking,dutch_auction_reserve_mode,dutch_auction_solver_payment_hook_cap_multiple,dutch_auction_trigger_mode,dutch_auction_trigger_rate,exact_replay_reliable,fee_identity_holds,fee_identity_max_error_exact,fee_policy_ranking,hook_benign_mean_overcharge_bps,hook_rejected_fee_cap,hook_rejected_stale_oracle,hook_toxic_clip_rate,hook_volume_loss_rate,oracle_ranking,oracle_sources,oracle_updates,pool,primary_oracle_source,regime,replay_error_p50,replay_error_p99,replay_error_tolerance,swap_samples
oct2025,,link_weth_3000_month_23479243_23486442_w01,exports/oct2025/windows/link_weth_3000_month_23479243_23486442_w01,link_weth,3000,23479243,23486442,1,observed_pool,0.1437371663244353,,,-0.7338582623250679,1.8868504701394424,-6.661338147750939e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,87,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,487
oct2025,,link_weth_3000_month_23486443_23493642_w02,exports/oct2025/windows/link_weth_3000_month_23486443_23493642_w02,link_weth,3000,23486443,23493642,2,observed_pool,0.2193158953722334,,,-0.9098808789124336,1.883716962325758,2.220446049250313e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,log_fee|linear_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,76,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,497
oct2025,,link_weth_3000_month_23493643_23500842_w03,exports/oct2025/windows/link_weth_3000_month_23493643_23500842_w03,link_weth,3000,23493643,23500842,3,observed_pool,0.19444444444444445,,,-0.5009490783556394,1.0610149013976395,-1.1102230246251565e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,93,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,252
oct2025,,link_weth_3000_month_23500843_23508042_w04,exports/oct2025/windows/link_weth_3000_month_23500843_23508042_w04,link_weth,3000,23500843,23508042,4,observed_pool,0.36423841059602646,,,-0.12889083487735453,0.5571527942204829,0.0,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,57,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,302
oct2025,,link_weth_3000_month_23508043_23515242_w05,exports/oct2025/windows/link_weth_3000_month_23508043_23515242_w05,link_weth,3000,23508043,23515242,5,observed_pool,0.2556053811659193,,,-0.4805794604915192,1.1382968270960452,2.7755575615628914e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,84,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,446
oct2025,,link_weth_3000_month_23515243_23522442_w06,exports/oct2025/windows/link_weth_3000_month_23515243_23522442_w06,link_weth,3000,23515243,23522442,6,observed_pool,0.17889908256880735,,,-0.7666864071235686,1.9945406128493843,0.0,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,89,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,436
oct2025,,link_weth_3000_month_23522443_23529642_w07,exports/oct2025/windows/link_weth_3000_month_23522443_23529642_w07,link_weth,3000,23522443,23529642,7,observed_pool,0.24773413897280966,,,-0.5365800281396516,1.9651750045486287,2.220446049250313e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,98,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,662
oct2025,,link_weth_3000_month_23529643_23536842_w08,exports/oct2025/windows/link_weth_3000_month_23529643_23536842_w08,link_weth,3000,23529643,23536842,8,observed_pool,0.1021021021021021,,,-0.2351613034273658,0.7210002050620754,-5.551115123125783e-17,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,81,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,333
oct2025,,link_weth_3000_month_23536843_23544042_w09,exports/oct2025/windows/link_weth_3000_month_23536843_23544042_w09,link_weth,3000,23536843,23544042,9,observed_pool,0.1402439024390244,,,-0.7754479861024172,2.2968890699393096,-5.551115123125783e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,89,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,656
oct2025,,link_weth_3000_month_23544043_23551242_w10,exports/oct2025/windows/link_weth_3000_month_23544043_23551242_w10,link_weth,3000,23544043,23551242,10,observed_pool,0.16313094367227504,0.0,1.0,-53.14957398704668,445.7464591623621,49.969988229069145,0.01866852458749261,0.0,100.0,1.0,0.0,0.0,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.038039502560351136,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,256,0,0.3286264441591784,0.1872713972201902,chainlink,chainlink,363,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,1367
oct2025,,link_weth_3000_month_23551243_23558442_w11,exports/oct2025/windows/link_weth_3000_month_23551243_23558442_w11,link_weth,3000,23551243,23558442,11,observed_pool,0.19579500657030224,,,-0.74328106011889,2.7795785849167536,1.1102230246251565e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,230,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,761
oct2025,,link_weth_3000_month_23558443_23565642_w12,exports/oct2025/windows/link_weth_3000_month_23558443_23565642_w12,link_weth,3000,23558443,23565642,12,observed_pool,0.12720156555772993,,,-1.2065895256027028,2.8586828625373597,2.220446049250313e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,189,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,511
oct2025,,link_weth_3000_month_23565643_23572842_w13,exports/oct2025/windows/link_weth_3000_month_23565643_23572842_w13,link_weth,3000,23565643,23572842,13,observed_pool,0.13706563706563707,,,-0.47480062209925417,1.2565415984998614,3.885780586188048e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,161,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,518
oct2025,,link_weth_3000_month_23572843_23580042_w14,exports/oct2025/windows/link_weth_3000_month_23572843_23580042_w14,link_weth,3000,23572843,23580042,14,observed_pool,0.1580246913580247,,,-0.8856088111450398,4.174063789174754,-3.3306690738754696e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,191,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,405
oct2025,,link_weth_3000_month_23580043_23587242_w15,exports/oct2025/windows/link_weth_3000_month_23580043_23587242_w15,link_weth,3000,23580043,23587242,15,observed_pool,0.21875,,,-0.20421596884647567,0.831183987519536,8.326672684688674e-17,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,142,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,288
oct2025,,link_weth_3000_month_23587243_23594442_w16,exports/oct2025/windows/link_weth_3000_month_23587243_23594442_w16,link_weth,3000,23587243,23594442,16,observed_pool,0.2183288409703504,,,-0.5543888046431211,1.9152032493327125,1.1102230246251565e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,147,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,371
oct2025,,link_weth_3000_month_23594443_23601642_w17,exports/oct2025/windows/link_weth_3000_month_23594443_23601642_w17,link_weth,3000,23594443,23601642,17,observed_pool,0.22362204724409449,,,-1.0564036512962296,3.461519504917888,0.0,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,182,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,635
oct2025,,link_weth_3000_month_23601643_23608842_w18,exports/oct2025/windows/link_weth_3000_month_23601643_23608842_w18,link_weth,3000,23601643,23608842,18,observed_pool,0.16289592760180996,,,-0.264528922514649,0.5497895266840093,1.1102230246251565e-16,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,72,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,221
oct2025,,link_weth_3000_month_23608843_23616042_w19,exports/oct2025/windows/link_weth_3000_month_23608843_23616042_w19,link_weth,3000,23608843,23616042,19,observed_pool,0.12968299711815562,,,-0.2429221695827825,0.8780929660340644,2.7755575615628914e-17,,0.0,100.0,1.0,0.0,,chainlink,hook_counterfactual,1.0,auction_beats_hook,0.0,,,,linear_fee|log_fee|hook_fee|fixed_fee,0.0,0,0,0.0,0.0,chainlink,chainlink,109,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,chainlink,stress,,,,347
