tick_index,liquidity_net,liquidity_gross
-887272,8086294097174357,8086294097174357
-283256,512077183742186,512077183742186
-279689,6453995740955,6453995740955
-277278,214699782082510,214699782082510
-276424,6007981228085202,6007981228085202
-276375,1260558459488699,1260558459488699
-276374,39573805399819,39573805399819
-276350,3802373718301130,3802373718301130
-276345,5758845225178321842,5758845225178321842
-276344,902191155004549364,902191155004549364
-276339,15227006889994675,15227006889994675
-276337,143584412724562760,143584412724562760
-276336,288396261484304356,288396261484304356
-276335,802963605524649746,802963605524649746
-276334,16105707901539770096,16105707901539770096
-276332,4884900224132419,4884900224132419
-276331,800048779587744430,800048779587744430
-276330,3245961047802657071,3245961047802657071
-276329,13743960242357308,13743960242357308
-276328,1362106124137501199,1362106124137501199
-276327,1116117181180848826217,1116117181180848826217
-276326,3229066683437035395370,3229066683437035395370
-276325,12791635908258198928237,12791635908258198928237
-276324,-268272705255894611912,268272705255894718264
-276323,-12694777891355231364016,12697011362288175570490
-276322,-4042244971053410510346,4042244971053410510346
-276321,-2596003665467705433,2596003665467705433
-276320,-681968830765014306,681968830765014306
-276319,-133633609871108195937,133633609871108195937
-276317,-1347676523049719,1347676523049719
-276316,-3020840950836529,3020840950836529
-276315,-793952596451130264,793952596451130264
-276314,-16291445947862191437,16291445947862191437
-276313,-18156882303861554,18156882303861554
-276311,-119376111518273314,119376111518273314
-276310,-143584412724562760,143584412724562760
-276306,3645591051512275,3645591051512275
-276305,-5779918025787239810,5779918025787239810
-276304,-902191155004549364,902191155004549364
-276289,-3802373718301130,3802373718301130
-276287,-3268993770641854,3268993770641854
-276284,-3645591051512275,3645591051512275
-276275,-1260558459488699,1260558459488699
-276273,-39573805399819,39573805399819
-276226,-20581649956535,20581649956535
-276224,-6007981228085202,6007981228085202
-275491,-6453995740955,6453995740955
-275271,-214699782082510,214699782082510
-269392,-512077183742186,512077183742186
-1,10000499987500624950939,10000499987500624950939
1,-10000499987500624950939,10000499987500624950939
100,201515428748625854491,201515428748625854491
200,-201515428748625854491,201515428748625854491
887272,-8086294097174357,8086294097174357
