tick_index,liquidity_net,liquidity_gross
-887270,883366216,883366216
50520,1006476937,1006476937
50880,31534452,31534452
50900,-31534452,31534452
52070,20022129,20022129
52990,7177395,7177395
55370,-20022129,20022129
57040,775727,775727
57150,493893793,493893793
57370,-493893793,493893793
59920,18640600,18640600
60350,65536,65536
60360,-65536,65536
60480,1073213061,1073213061
61100,4539477049,4539477049
61300,41125287155,41125287155
61320,15291325117,15291325117
61510,3429,3429
62050,114297620,114297620
62150,123278340,123278340
62350,18182116,18182116
63100,277096946,277096946
63110,853269709,853269709
63140,19364317,19364317
63360,1772987990,1772987990
63580,12038269,12038269
63800,20807,20807
63980,30822037843,30822037843
64300,307921986,307921986
64310,533509053,533509053
64350,191340308,191340308
64360,20697608,20697608
64380,-1006476937,1006476937
64400,148651,148651
64620,962468653,962468653
64660,10150214387,10150214387
64760,971447224,971447224
64770,12183538611,12183538611
64800,2411330479,2411330479
64810,94670505,94670505
64930,179063709,179063709
64980,1238733756,1238733756
64990,44159155,44159155
65000,248464551,248464551
65070,1388518,1388518
65080,1633665121,1633665121
65130,4721664293,4721664293
65180,-1388518,1388518
65190,-3429,3429
65360,43761783318,43761783318
65500,201629488,201629488
65510,-307921986,307921986
65590,-971447224,971447224
65600,15675765052,15675765052
65640,-114297620,114297620
65650,6259,6259
65710,-10150214387,10150214387
65760,-48144490,48144490
65790,-43761783318,43761783318
65800,483059779,483059779
65930,18641560,18641560
65940,-871451825,871451825
65980,-44159155,44159155
66000,250578174977,250578174977
66010,149236482179,149236482179
66070,660681847841,660704235617
66090,24925215890,24925215890
66120,-911271216706,911271216706
66130,-4532676307,4532676307
66140,-20697608,20697608
66200,4581654,4581654
66220,-962468653,962468653
66330,-149236482179,149236482179
66340,9769368,9769368
66390,-1190589266,1190589266
66420,-94670505,94670505
66470,-1633665121,1633665121
66600,-15675765052,15675765052
66640,-30822037843,30822037843
66760,233722,233722
66900,-2411330479,2411330479
66920,-41125287155,41125287155
66970,7364474,7364474
66980,-24925215890,24925215890
67100,43188304,43188304
67190,1081825695,1081825695
67220,-19364317,19364317
67300,2991566,2991566
67320,-4721664293,4721664293
67340,659364,659364
67460,2180228547,2734422439
67570,-11546812684,11546812684
67880,-15291325117,15291325117
67920,-7364474,7364474
67990,-1073213061,1073213061
68030,4390658284,5177065320
68220,14655010338,14655010338
68240,190425649,190425649
68250,175932538,175932538
68260,859848501,859848501
68300,-148651,148651
68570,-1111230,1111230
68580,-14655010338,14655010338
68780,-483059779,483059779
68890,-190425649,190425649
69030,4952254564,4952254564
69050,-121421999,121421999
69070,-43188304,43188304
69080,12395505,9916904633
69090,-7446712,7446712
69130,12426530,9941726668
69180,12457634,9966610832
69230,12488816,9991557282
69280,-5002023049,5002023049
69420,-859848501,859848501
69470,5844988,5844988
69600,21933626540,21933626540
69720,-179063709,179063709
69750,7246605894,7246605894
69840,260299341,260299341
69850,-175932538,175932538
70030,-9769368,9769368
70120,-1081825695,1081825695
70480,-4581654,4581654
70530,-5844988,5844988
70570,-260299341,260299341
70670,-1772987990,1772987990
70820,-45829810,45829810
70880,-33826940,33826940
70900,-7177395,7177395
71300,-533509053,533509053
71310,-2423498553,2423498553
71480,-7246605894,7246605894
71550,4888767632,4888767632
71590,9786830,9787322094
71630,9806421,9806915345
71670,1647583068,11464304834
71680,-20807,20807
71700,-1633366134,11484504900
71740,-4925569383,4925569383
71880,-21933626540,21933626540
71940,-12038269,12038269
72020,-248464551,248464551
72080,-4743721504,4743721504
72860,-18641560,18641560
73140,-640017359,640017359
887260,-6259,6259
887270,-883366216,883366216
