timestamp,block_number,tx_hash,log_index,pool,token0,token1,token0_decimals,token1_decimals,sender,recipient,direction,token0_in,token1_in,token0_out,token1_out,amount0,amount1,sqrt_price_x96,sqrtPriceX96,liquidity,tick,pre_swap_tick
1773906755,24690158,0xff2f94e3485a778ca81a63dc6cf2cef24d1c7cc2de01f30daa69b2b35e5d4c4a,36,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,one_for_zero,0,626292117,894740,0,-894740,626292117,2095752714658100991856602375591,2095752714658100991856602375591,176808287133,65509,65509
1773906767,24690159,0xe6fa8b0b001bf7364db8ac4ffb4f76e98f0ed17b0d0c2dd8ce8adeba6535f700,39,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,one_for_zero,0,1222785325,1746217,0,-1746217,1222785325,2096301328791005721295938921566,2096301328791005721295938921566,176500365147,65515,65515
1773906779,24690160,0x9649337e08ac92794064bd296dee52cbba8e1d15d0ec4f4556935135e49dc0a4,19,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,one_for_zero,0,996185544,1421943,0,-1421943,996185544,2096748276802221110294086642491,2096748276802221110294086642491,176500365147,65519,65519
1773906827,24690164,0xce475288208f88ec7a8b8a37454e92a1adec5276d8d5f8ae8add5b913fbb2043,37,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,one_for_zero,0,1607847459,2293743,0,-2293743,1607847459,2097469652682959009020484693567,2097469652682959009020484693567,176500365147,65526,65526
1773906839,24690165,0x7880effdc08a21fc7479a2749343ab833d3ad8f526f4321db0c4efe491d1cca3,87,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,one_for_zero,0,1009794102,1439758,0,-1439758,1009794102,2097922706301356940435702329695,2097922706301356940435702329695,176500365147,65530,65530
1773906851,24690166,0x4017b23f94e1c37724d4167d5c49f49707480b17784e58f6fd42b45117741374,116,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,one_for_zero,0,595580436,848883,0,-848883,595580436,2098189919063782110769119814348,2098189919063782110769119814348,176500365147,65533,65533
1773906899,24690170,0xe11bed3d97fc08c4f3aaa10f38725810c009c43ff0457ddf86ecb876629784c0,536,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,0x63242a4ea82847b20e506b63b0e2e2eff0cc6cb0,zero_for_one,2413482,0,0,1691219887,2413482,-1691219887,2097430757778228643832272674439,2097430757778228643832272674439,176500365147,65526,65526
1773906911,24690171,0x0efacf4429c3688d01aa51af02d9d2c59ec8b73f69482da9f1ddb1b6e2b3d3c5,31,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,one_for_zero,0,2409378907,3434377,0,-3434377,2409378907,2098511748279683027050129260932,2098511748279683027050129260932,176500365147,65536,65536
1773906971,24690176,0xb239e8a18b04c6e56cb24ca8afa574db48e758942dd23fba7384bc9aa64a6f8b,507,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x6747bcaf9bd5a5f0758cbe08903490e45ddfacb5,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,zero_for_one,327,0,0,228707,327,-228707,2098511645616388555895361493610,2098511645616388555895361493610,176500365147,65536,65536
1773907055,24690183,0xb735738acc6b284609568daeb926fcb1fa9fe4c301305c38cdbdfe0701cc6197,182,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0xe592427a0aece92de3edee1f18e0157c05861564,0x0e5891850bb3f03090f03010000806f080040100,one_for_zero,0,1123324095,1600000,0,-1600000,1123324095,2099015635533542077196665632712,2099015635533542077196665632712,176500365147,65541,65541
