tick_index,liquidity_net,liquidity_gross
-887270,883366216,883366216
50520,1006476937,1006476937
50880,31534452,31534452
50900,-31534452,31534452
51040,814791506,814791506
52070,20022129,20022129
52990,7177395,7177395
55370,-20022129,20022129
56830,2317278484,2317278484
56850,-2317278484,2317278484
57150,493893793,493893793
57370,-493893793,493893793
60350,65536,65536
60360,-65536,65536
62150,712475958,712475958
62330,9222198454,9222198454
63800,20807,20807
64380,-1006476937,1006476937
64520,35648027938,35648027938
64770,638047516,638047516
64980,48144490,48144490
65070,1388518,1388518
65180,-1388518,1388518
65370,1520537387,1520537387
65760,-48144490,48144490
65780,105341541,105341541
65800,483059779,483059779
65930,18641560,18641560
65990,111925678,111925678
66200,4581654,4581654
66880,11364659,11364659
66970,7364474,7364474
67100,43188304,43188304
67340,659364,659364
67370,57303595,57303595
67460,127145920578,127145920578
67570,-659364,659364
67920,-7364474,7364474
68030,7657044433,7657044433
68150,3080887,3080887
68240,190425649,190425649
68340,-111925678,111925678
68460,589926729,589926729
68560,4090212991,4090212991
68570,121772932314,121772932314
68760,5209113,5209113
68780,-483059779,483059779
68830,7221743268,7221743268
68870,112835876,112835876
68880,764395817,764395817
68890,-190425649,190425649
68910,5058612242,5058612242
69070,-43188304,43188304
69080,8151792143,9781375155
69180,126720406,126720406
69280,2100205552,2100205552
69380,59358568,59358568
69470,97029807,97029807
69580,6649213036,6649213036
69600,21933626540,21933626540
69650,5195314708,5195314708
69660,28090738301,28090738301
69750,7246605894,7246605894
69840,260299341,260299341
69880,-112835876,112835876
69940,22050702712,22050702712
69970,748808826,759227052
70120,219332944,219332944
70300,7064040927,7064040927
70480,-63940222,63940222
70520,6116129241,6116129241
70530,-5844988,5844988
70570,-260299341,260299341
70620,335963007,335963007
70730,-589926729,589926729
70820,-45829810,45829810
70880,-33826940,33826940
70900,-7177395,7177395
70990,-219332944,219332944
71080,-1520537387,1520537387
71090,-120892199525,120892199525
71120,-1245854890,1245854890
71150,-8966583649,8966583649
71230,-9567545014,9567545014
71310,-124790001633,129112703439
71320,-129801293,129801293
71340,-28090738301,28090738301
71380,-6649213036,6649213036
71400,-335963007,335963007
71470,-160741102,160741102
71480,-7246605894,7246605894
71550,4888767632,4888767632
71560,-5058612242,5058612242
71580,-11364659,11364659
71590,9786830,9787322094
71630,-5185508287,15002230053
71670,1647583068,11464304834
71680,-20807,20807
71700,-16090372805,25941511571
71710,-2161350903,2161350903
71740,-4925569383,4925569383
71880,-21933626540,21933626540
71900,-105341541,105341541
72080,-4738031992,4738031992
72120,-754017939,754017939
72130,-1333686652,1333686652
72300,-7828436744,7828436744
72450,-6116129241,6116129241
72650,-2100205552,2100205552
72700,-7221743268,7221743268
72860,-18641560,18641560
73040,-4090212991,4090212991
73140,-639241632,639241632
73560,-57303595,57303595
73780,-35648027938,35648027938
78280,-9222198454,9222198454
887270,-883366216,883366216
