tick_index,liquidity_net,liquidity_gross
-887270,298715486027427,298715486027427
-887220,6960268047985,6960268047985
115130,6783676710783,6783676710783
185740,8011857382663,8011857382663
185970,-8011857382663,8011857382663
190800,1062046574,1062046574
201480,3373954775055585,3373954775055585
201490,-3373954775055585,3373954775055585
230270,1999602242748,1999602242748
230280,-1999602242748,1999602242748
244140,9373646449551,9373646449551
244880,9357652653786,9357652653786
246370,4262016517182,4262016517182
247320,59843598677646,59843598677646
251470,293452588127,293452588127
251970,839925365684,839925365684
252000,1665628648638,1667752741786
252880,4921998104334,4921998104334
253000,295718052538708,295718052538708
253200,16209914297541,16209914297541
253290,469755783296,469755783296
253300,2147625099374578,2147625099374578
253720,19435913387,19435913387
253780,68024834983,68024834983
253830,2303671339690,2303671339690
254040,2610400916971,2610400916971
254870,394864690961,394864690961
254920,666351563120631,666351563120631
255040,17913804327642,17913804327642
255120,1660985595869723,1660985595869723
255160,3198752033295608,3198752033295608
255240,341391163153241,341391163153241
255280,48152141736246598,48152141736246598
255310,60052952094981,60052952094981
255530,1931826083127042,1931826083127042
255540,27381164248621,27381164248621
255550,1360550388436718,1360550388436718
255650,1,1
255680,1041751832813458,1041751832813458
255820,1,1
255830,1,1
255920,496980233962883,496980233962883
255940,26311702641365,26311702641365
255950,-1,1
255960,9331269217020,9331269217020
255970,3169292100715,3169292100715
255980,1,1
255990,-3169292100715,3169292100715
256010,131681300177291,131681300177291
256060,3102247948247174,3102247948247174
256120,-1,1
256130,-1,1
256170,27029951342581,27029951534105
256190,1,1
256200,21569575741364,21569575741364
256220,-725382144535,725382144535
256230,853967618391,853967618391
256250,-853967618391,853967618391
256280,-131681300177292,131681300177292
256290,1271323932783,1271323932783
256300,1475967503736607,1475967503736607
256310,-1271323932783,1271323932783
256320,61098641397,61098641397
256340,647986986425,647986986425
256350,558861795104,558861795104
256360,-651224568160,766946687484
256370,-558861795103,558861795103
256430,-1357467838729256,1363632938144180
256440,672321072629537,672321072629537
256450,127025554683157,127025554683157
256460,-841032022094,841032022094
256470,-3082549707462,3082549707462
256480,77575405907168,77575405907168
256490,-1,1
256500,525713088799,2717855592629
256510,1,1
256520,960908223130,960908223130
256540,676572381794,2598388828054
256560,-1446197091343,1828764118505
256650,-1,1
256680,1,1
256700,1885843306505660,1885843306505660
256710,1,1
256730,1,1
256740,546975194798,546975194798
256760,3694475896795,4788426286391
256770,1768940094060,1768940094060
256780,-77855351799,77855351799
256790,-1007097594626,2530782593494
256800,-3406438537085,4920752942501
256810,-761842499435,761842499435
256830,159859649514733,159859649514733
256840,37220774121340,190179443431846
256860,1,1
256870,137246254904,137246254904
256890,-137246254903,137246254903
256910,1,1
256930,-1,1
256940,44646086066051,44646086066051
256950,2,2
256960,2,4
256980,-1,1
257010,-1,1
257040,-3,3
257060,-1,1
257070,3,3
257080,1,1
257090,1,1
257150,-1876511890691391,1895128378328105
257160,-3,3
257170,1,3
257190,2,2
257210,-1,1
257240,1,1
257250,1,1
257270,-3,3
257280,1,3
257290,2274722141634,2274722141634
257300,-20844193596827,20844193596831
257310,-3198752033295608,3198752033295608
257320,-48152141736246598,48152141736246598
257350,65353980451806,65353980451806
257370,-2,2
257390,1241779201284,1241779201290
257400,1,1
257410,2,2
257470,2650053,2650053
257480,94242370755127,94242370755131
257490,49056942200420,49056942200420
257500,119194674927766,119194674927770
257530,1,1
257540,74025135209,74025135211
257550,-1,1
257600,-1,1
257610,-224664340779662,791528817922040
257680,1946175185019,1946175185019
257710,-27029951438343,27029951438343
257730,-1,1
257840,1188928967378944,1188928967378944
257870,1438864448303,1438864448303
257960,-216126140705958,216126140705958
258000,1539719511593812,1778797741582522
258040,-243657232709730,243657232709730
258070,5117564590701,5117564590701
258080,7350126326233,7350126326233
258100,1592328163979,1592328163979
258130,-1621784340714,1621784340714
258240,-3120161752574816,3120161752574816
258280,-1438864448303,1438864448303
258310,5786502906445,5786502906445
258350,-2303671339690,2303671339690
258390,268435456,268435456
258400,-268435456,268435456
258410,2173155649861455,2173155649861455
258450,52537136844993,52537136844993
258470,-2650053,2650053
258490,-945271734669214,945271734669214
258500,17448623266089,17448623266089
258520,5981727672604924,5981727672604924
258550,694661038316,694661038316
258570,-825625692107500,825625692107500
258600,64270335497377,64270335497377
258610,30647909122150,30647909122150
258620,-30409986220327,30409986220327
258640,1769727249886,1769727249886
258660,-283432238571189,283432238571189
258710,3007224488639,3007224488639
258730,1393315359827,1393315359827
258740,-1144181795628959,1150557264784801
258750,260017796273223,260017796273223
258780,-1946175185019,1946175185019
258800,-757157202708,757157202708
258820,-26311702641365,26311702641365
258910,-49056942200420,49056942200420
258920,55017201750405,55017201750405
258980,1617997901342,1617997901342
259000,-113700108776590,113700108776590
259070,1231180021872739,1231180021872739
259080,5610087245734,5610087245734
259090,-191283513581,191283513581
259100,-23171995914,23171995914
259110,-57861059662,57861059662
259180,-135852995595715,135852995595715
259250,113302631369337,113302631369337
259270,4294967296,4294967296
259280,-260022091240519,260022091240519
259360,-1617997901342,1617997901342
259490,-2163977039146404,2163977039146404
