tick_index,liquidity_net,liquidity_gross
-887220,2060883755905615,2060883755905615
-887160,75847743082028,75847743082028
-327060,505275,505275
-326940,-505275,505275
-198060,109226039871609519407,109226039871609519407
-194700,-109226039871609519407,109226039871609519407
-80760,7937751727062549,7937751727062549
-80220,362466733399979280,362466733399979280
-79620,-362466733399979280,362466733399979280
-79380,-7937751727062549,7937751727062549
-23640,84117458436,84117458436
-1080,955255939572502,955255939572502
0,3183471432,3183471432
46080,439049627017196,439049627017196
63780,2936263980950,2936263980950
69060,9808405604303,9808405604303
73140,1096515,1096515
74940,1690409156714758,1690409158907788
75480,-1690409157811273,1690409157811273
76020,542678189887,542678189887
78240,4092771,4092771
79380,-4092771,4092771
82920,-542678189887,542678189887
84120,4443970,4443970
84780,-4443970,4443970
137700,13327253744,13327253744
138120,504553183544,504553183544
138180,182677069577028,182677069577028
138240,62723669058,62723669058
144360,265816663181,265816663181
144900,46394623531,46394623531
145080,18683851755,18683851755
145680,-10300265337294,10300265337294
148440,-5682652725524,5682652725524
149160,368463335144,368463335144
149400,-59864825019210,59864825019210
156060,2074343196363,2074343196363
158340,6458007493,6458007493
161160,2281033236326295,2281033236326295
162120,961652346063,961652346063
165240,84908606264,84908606264
166320,20484532176087,20484532176087
166920,157513339323,157513339323
167580,-961652346063,961652346063
168120,-15217734762659,15217734762659
169200,1957485398494,1957485398494
169260,10606743277866,10606743277866
170280,131401952965,131401952965
170340,21057536578,21057536578
172440,24342028274317,24342028274317
175080,29310154768,29310154768
175440,601832478778,601832478778
176220,9285486,9285486
176580,944813053035745,944813053035745
177300,28230236600232,28230236600232
178080,1664921756208,1664921756208
178320,252013561695096,252013561695096
179520,20988438359844,20988438359844
179760,51090894037,51090894037
180060,90419133855,90419133855
180180,239274477711144,239274477711144
180420,544772519503,544772519503
180960,288992626220,288992626220
181020,6844438646565,6844438646565
181200,48343923359,48343923359
181500,-544772519503,544772519503
181620,92251617674343,92251617674343
181980,9128146985453,9128146985453
182340,12578446423080,12578446423080
182400,-5934265714582,5934265714582
182580,131742122016,131742122016
182880,2757662176014052,2757662176014052
182940,948364035671,948364035671
183000,1099558017031,1099558017031
183060,69400297784,69400297784
183180,17296075409,17296075409
183240,349495655052777,349495655052777
183300,-349495655052777,349495655052777
183480,451244678059,451244678059
183840,367025268129702,367025268129702
183900,108294825976170,108294825976170
184140,75485323297376,75485323297376
184200,1525975466059189,1592799009630383
184560,17346283988278,17346283988278
184620,384681129389806,384681129389806
184680,2816337329568,2816337329568
184740,7190984556772,7190984556772
184800,259193092,259193092
184920,24222683903985,24222683903985
184980,545517927766,545517927766
185100,203316284639,203316284639
185160,8268448342963,8268448342963
185280,709479173673376,709479173673376
185460,1405007636993,1405007636993
185580,32380868017110,32380868017110
185640,59514120508359,59514120508359
185700,293256625304,293256625304
185760,17906869374,17906869374
185820,2605529513600,2605529513600
185880,52118415672,52118415672
185940,191992145873,191992145873
186000,172280748499960,172280748499960
186060,29861484694025,29861484694025
186120,2642098278050522,2642098278050522
186240,331543983911369,331543983911369
186300,13347306292789,13347306292789
186360,1729944870908,1729944870908
186420,26014187474924811,26014187474924811
186480,89335018751135,89335018751135
186540,32264387930789,32264387930789
186600,2189643690673551,2189643690673551
186660,54459772356,54459772356
186780,71964125947570,71964125947570
186840,224600137094553,224600137094553
186960,208720946870885,208720946870885
187020,17416159640101,17416159640101
187080,528584901492581,528584901492581
187140,89016793,89016793
187200,400269960029562,400269960029562
187260,3495207454726,3495207454726
187320,431121478802180,431121478802180
187380,366734340688,366734340688
187440,645726406146105,645726406146105
187500,84499251931840,84499251931840
187560,36423595274573,36423595274573
187620,36660338048446,36660338048446
187680,37798906178576,37798906178576
187740,31488244561751616,31488244561751616
187800,2278677058560836,2278677058560836
187860,40013360232259,40013360232259
187920,63944307038195,63944307038195
187980,674411121933006,674411121933006
188040,533719232619096,533719232619096
188100,18724084791716479,18724084791716479
188160,163766760541704,163766760541704
188220,86529763171376,86529763171376
188280,21338604934376,21338604934376
188340,6235983492995339,6235983492995339
188400,6361553696748425,6361553696748425
188460,274502016076204,274502016076204
188520,57376296605379,57376296605379
188580,1164178281443509,1164178281443509
188640,66866950845287,66866950845287
188700,468805913078901,468805913078901
188760,666190111904532,666190111904532
188820,475108692963695,475108692963695
188880,78440597301168,78440597301168
188940,128699922819099,128699922819099
189000,19706642395759577,19706642395759577
189060,1299271518767,1299271518767
189120,100554867644871,100554867644871
189180,10012739417459,10012739417459
189240,687895546174024,687895546174024
189300,58738130985842886,59255964251390206
189360,2128481466480868,2128481466480868
189420,37177143409166,37177143409166
189480,55033328421705,55033328421705
189540,17898183185439,17898183185439
189600,319232445791852,319232445791852
189660,43349465426541837,43349465426541837
189720,101635398918525,101635398918525
189780,12521157653903,12521157653903
189840,42161218300124,42161218300124
189900,871694647948547,871694647948547
189960,104680854000563,104680854000563
190020,470111525442437,470111525442437
190080,549217703439524,549217703439524
190140,500755364135649,500755364135649
190200,-56906551731348141,57676024118338459
190260,131247402314693,131247402314693
190320,205709604147136,205709604147136
190380,1135390081782304,1135390081782304
190440,208794627835126,208794627835126
190500,219387161685456,219387161685456
190560,287894228327338,287894228327338
190620,2205219050990858,2205219050990858
190680,106569362943894,106569362943894
190740,7225470864163212,7225470864163212
190800,9067459682309470,9067459682309470
190860,956939412443791,956939412443791
190920,1493720608405458,1493720608405458
190980,4766349340263175,4766349340263175
191040,5238355192519648,5238355192519648
191100,22915855658974939,73877910943851993
191160,60720454054193748,84312879041594006
191220,1149241209307636,1149241209307636
191280,189654488407063,189654488407063
191340,2097558100433271,2097558100433271
191400,14937274590521758,14937274590521758
191460,-31940445906026,116608003042042
191520,19719173492033527,19719173492033527
191580,3488479409468990,3495139581526834
191640,2013303764746617,2013303764746617
191700,3347685398458674,3347685398458674
191760,81975661883626533,81975661883626533
191820,2227961382427595,2227961382427595
191880,27276972301101090,27276972301101090
191940,565271512834484,565271512834484
192000,5146830016679949,5146830016679949
192060,1004197253360404,1004197253360404
192120,-1667619627373456,10360673166318054
192180,28910991029918692,33168499203216262
192240,-1604278286665492,11035400457869012
192300,2806840393928605,2806840393928605
192360,50158012245643,1078828208333367
192420,15252653597493197,16038996168545169
192480,543228469721759,544950199016475
192540,856927912632252,856927912632252
192600,14357971593028059,14357971593028059
192660,-191061317114246,1481514259995882
192720,5991267251498,9530861670732
192780,7352497826613977,7352497826613977
192840,-3320014791238951,11089587782067029
192900,12835484086537227,22305656228401171
192960,134216683176377,134216683176377
193020,-15031034147621283,17583037020672857
193080,2728579980675524,2955552681715536
193140,8185827075697854,19449467789868662
193200,-154012341239610,839920568035954
193260,1137461725203318,2022990454391556
193320,399670188226665,405442657368065
193380,3870563587201126,24538182553539632
193440,3560853069545296,3653587191805074
193500,9308096843002300,12471947942582338
193560,52666527370788144,53581696849981114
193620,1591378532621798,1703007013542558
193680,1937955854223737,2603726562292973
193740,66728893813431060,67058346149554146
193800,794611862244979,2132449334467963
193860,5327325400158180,6561129463172904
193920,25021420126155978,27557011088409990
193980,-941319373035305,2758098207072983
194040,13087143760738307,13717983709726743
194100,-3629788016279111,5151844494682601
194160,-854764164260963,2273094921073061
194220,552176637704527,712371774714769
194280,51194256896727088,51312069180666004
194340,4760564049285596,4921421469756028
194400,3683560334980529,3683560334980529
194460,213590766712331,1280168272916435
194520,-78963534561436225,81316046738404983
194580,643868957089202,10436025331354738
194640,3454660602195075,4605923874137111
194700,18882582737276015,25002879038995347
194760,24753130419824225,27117812789181551
194820,-69276513148475660,73394046621037628
194880,2348546801412614,4806630885433304
194940,967497681060944,2507635973024308
195000,229538521708050790,233379073007931942
195060,-192479630680502700,196575110272012338
195120,308698490367390,1030596437996224
195180,-4517211681893344,10513642554543642
195240,1593899345884424,1819965987478682
195300,20541976245891823,23662815752019099
195360,-675954566861094,875936266303142
195420,4370456653884120,4424641135857202
195480,2373823726019412,2944762010727300
195540,-3287658191500652,22005561381869584
195600,-1624928878384495,7533309714276261
195660,64848014424307,424809814161103
195720,8687151124011548,10162096884355260
195780,-1476814393815024,1802502891006138
195840,555562870562329,555562870562329
195900,1576393990381874,3705133391121448
195960,-22453613800415056,26879545283352996
196020,3441827582057797,6104487375131049
196080,191645475412889,406045908763553
196140,1228861219779654,17538857310590598
196200,-10875011424052869,33950343115885653
196260,72358271342951123,83855384548136057
196320,-28858637423063512,48335302166622612
196380,354228078547874,5850185107793476
196440,-12643655160400902,23261076990730722
196500,-456728477390793,795029840517211
196560,-585535569053511,2661818851317737
196620,-12818680826800197,36201159704449291
196680,-766827247746302,1546275601587286
196740,-12771529283899373,14646086903310909
196800,-1672593584624070,2861906134949916
196860,648224673381667,1898658839139125
196920,19280347274645545,35035513182779331
196980,704524502627229,19088800911473477
197040,-8608943965702623,10490799837439115
197100,61529447939227030,61951175494336468
197160,-37157885846668187,37167181623435595
197220,4634352006639600,4963266593613770
197280,770634103482451,3717113732504665
197340,3480785425231962,25457871383589098
197400,-1607224717304969,1697690155752465
197460,-458806684957856,1288612183772722
197520,-2191485964541400,15076356547488752
197580,-38218442030689,823968781326747
197640,4816632141583602,5314666994712664
197700,405931016549365234,409686185601458212
197760,-10405449131548856,11832277735193782
197820,-1339432294935116,1706146296257560
197880,8998036292492935,14256387186729345
197940,4789586338602432,5203005736806472
198000,227372821298908,4313440103892666
198060,2334150831372358,54389614577583818
198120,96284935064837575,118340633265202427
198180,-1183214059732376,1871917475587932
198240,2271856673714739,3195389958844739
198300,36284119492199362,36982331558664054
198360,-52615749738786835,55515608423188069
198420,-955518983056551,1513456194928047
198480,40520047142680125,70090412254810305
198540,100836876145405483,101736215600662733
198600,6939035842712298,7802673859180468
198660,2276112964540628,2325632832596858
198720,146746225380034333,148865367477996553
198780,-8187029122132197,12326477104032263
198840,92072001573718,403336459105318
198900,24317849507163097,26464652861998171
198960,-33926092650661176,35116419511570024
199020,-1732188508216719,2885631201722653
199080,275935163123088,553217530660290
199140,-2333809582720779,55283780043789523
199200,1675133010507244,2216023447135060
199260,128706901683740,874268290337494
199320,384298311411404411,496690092226661415
199380,-498560249395687166,503651239400844948
199440,-32399496593724161,33062519035160601
199500,5897148639719897,6865424073720055
199560,-97204015959372521,99782700525581241
199620,2253172452768781,7831035502758863
199680,-2377788331027115,2434090540455709
199740,-11318971632396621,11448456570104633
199800,-3983129518741394,4278872999868938
199860,-405056495545369720,411714569685994114
199920,-95412119379254758,104674519186052676
199980,-10753788203183955,10793879778892723
200040,-1380690830294620,7330788196674482
200100,-7121377412894706,7409317491289272
200160,-496440766050385,576909512627911
200220,1574923184061636,2686124334597476
200280,64019151103106251,86445147274823087
200340,-93704438317913225,94035787711692019
200400,-4872355405070963,4902204147992713
200460,-3077004507610262,3876819413802794
200520,-12721675421707912,12805438070983622
200580,-1328485961049537,1428345661251227
200640,-1545011813148969,1961004630163111
200700,432095712758268,908889401582448
200760,-610451109804756,5702926667448158
200820,-33210218018142866,35494695842315872
200880,-9918851926844150,9949705127238422
200940,-696917926863632,747960918627730
201000,-1347206971800277,7045469831979549
201060,-506096327955834,579850508622408
201120,-70662978109518457,76939339085036431
201180,-3547377101561689,3792173892654241
201240,-8882937471051105,8951362020097027
201300,222577300020837,1325591507595549
201360,-6310357127458944,10053444581282494
201420,276489369199996,734978889621376
201480,47105494716157,152014230401485
201540,-16521518653134965,16533893027797395
201600,-40057667322314169,40177504701462963
201660,-25682597035152104,25695237016916532
201720,2832319149016222,3320422338328834
201780,-1909038068462217,1914424516849101
201840,-536457216573555,557492562622083
201900,-129746451792601278,137427889610056570
201960,-69759029435227279,70525729666979121
202020,-1050676112796505,1055080528389455
202080,-5660134035950014,5734303604776002
202140,24212121076622464,25252781151061276
202200,-32400580916405039,32746005628477221
202260,-2852438534480317,8441250986986067
202320,-159316611052545,1896711115573845
202380,-369127077596016,370456966200748
202440,-692086259078021,2493127267736709
202500,-27599924620137201,27605054025908751
202560,-9831314149809608,10016519604696736
202620,-2153901489165845,2154135521253143
202680,-2705464409344006,2716172634707608
202740,-104648274726905,127444231853357
202800,-52664800848130,53316357370546
202860,-12108996336291981,12113803829774053
202920,-58955696901001,308415783688957
202980,-637592581369160,639772996669900
203040,-1735752194642685,1762300717236335
203100,-148042543247163,526936878387075
203160,-9485011819758158,10386169922719034
203220,-1982785711077737,1990176763485289
203280,-386332950142796,406845178457340
203340,-294567571731053,319224276807449
203400,-1807836710123409,1808579781014089
203460,-3995913985925224,3997241451761740
203520,-11741684780564506,11797729703173134
203580,-124062846923558,131567290929352
203640,-1677991968564807,1718720365801169
203700,-3729879140510,5283150792298
203760,-6683859252198914,6743255544841222
203820,-21570274768689319,21570645185237449
203880,-12759287118208689,12783628345919281
203940,-127957476296138,134557837921312
204000,-215324061917851,858283756080569
204060,-583051014153838,643941013929118
204120,-3966450917631550,3977767772192274
204180,-164463250298541,176953347163471
204240,-30707574054289,83859300245247
