block_number,timestamp,tx_hash,log_index,event_type,tick_lower,tick_upper,amount,amount0,amount1
24690231,1773907631,0x8c75bb47d69e934f8634abdfe47ca14ceb5ca478c462796d444e71aeb2396122,1204,burn,196080,209940,0,0,0
24690244,1773907787,0x5b026e24c2ad36e98702562cf67a0bce48e8bf6bae92f29041c55f4b75af8c48,339,burn,196500,210360,0,0,0
24690358,1773909155,0x84abfccf4fdd9e4cfa6b3ec9c8619bbb3249e8bb73231420d3a49ea41aca2bdd,714,mint,198840,200160,33879412099867891,49942115900,24201213053015659491
24690359,1773909167,0x42a3f24b307a4ec3bf103f125bb0b64025d2e6cd61fb1e64e7693acb379006c9,294,mint,198840,200160,33345602026384700,49155218994,23819894413833516598
24690633,1773912467,0xfbfaf915774b3a4de823587618a36c9a4f4fec2e87e2c118e29374b4a4b1e059,251,burn,194040,201600,0,0,0
24690639,1773912539,0xb1a8ce7a3c2fb4d22ebfe9da3d6ccf58a8540e63a69c36684dccea8a5513d622,104,mint,194040,201600,453550073477814,2163014550,2299999999838411302
24690891,1773915563,0x291531ddd5f14e7efa728d53e23aebd1bc9e8af9b838be21e6060373500b02ae,48,mint,199260,199620,39907514066609,17644699,7221990329545109
24691017,1773917075,0xb65f5ea0a4afffc88d8791dbf39545fb19e29c9921f744f2f839650e79ac66dd,95,mint,198180,200580,230592065725090,600000000,299909272338154489
24691139,1773918539,0xa12080d875192972495c39ab115bdc3971f6f0a9818592ae7f4383100595c497,465,mint,197520,201360,15315706904114,64548412,30440381150845983
24691242,1773919787,0x79d6641654e8167f1f1dfb857a3d92190648a672c1bd4f624a94edc72cffe0b8,105,burn,195180,196380,680173512539999,0,727629871465821651
