tick_index,liquidity_net,liquidity_gross
-887220,1793092121118067,1793092121118067
-887160,75847743082028,75847743082028
-327060,505275,505275
-326940,-505275,505275
-23640,84117458436,84117458436
-1080,955255939572502,955255939572502
0,3183471432,3183471432
46080,439049627017196,439049627017196
63780,2936263980950,2936263980950
69060,9808405604303,9808405604303
73140,1096515,1096515
74940,1690409156714758,1690409158907788
75480,-1690409157811273,1690409157811273
76020,542678189887,542678189887
78240,4092771,4092771
79380,-4092771,4092771
82920,-542678189887,542678189887
84120,4443970,4443970
84780,-4443970,4443970
137700,13327253744,13327253744
138120,504553183544,504553183544
138180,186596778352551,186596778352551
138240,62723669058,62723669058
144360,265816663181,265816663181
144900,46394623531,46394623531
145080,18683851755,18683851755
145680,-10300265337294,10300265337294
148440,-5682652725524,5682652725524
149160,368463335144,368463335144
149400,-59864825019210,59864825019210
156060,2074343196363,2074343196363
158340,6458007493,6458007493
161160,2291504483957943,2291504483957943
162120,961652346063,961652346063
165240,84908606264,84908606264
166320,20484532176087,20484532176087
166920,157513339323,157513339323
167580,-961652346063,961652346063
168120,2870416630649,33305886155967
169200,1957485398494,1957485398494
169260,10606743277866,10606743277866
170280,131401952965,131401952965
170340,21057536578,21057536578
172440,24342028274317,24342028274317
175080,29310154768,29310154768
175440,601832478778,601832478778
176220,9285486,9285486
177240,31889431027874,31889431027874
177300,28230236600232,28230236600232
178080,1664921756208,1664921756208
178320,191273103070223,191273103070223
179520,20988438359844,20988438359844
179760,51090894037,51090894037
180060,90419133855,90419133855
180180,239274477711144,239274477711144
180960,288992626220,288992626220
181020,6844438646565,6844438646565
181200,48343923359,48343923359
181620,92251617674343,92251617674343
181980,9128146985453,9128146985453
182340,12578446423080,12578446423080
182400,-5934265714582,5934265714582
182580,131742122016,131742122016
182940,948364035671,948364035671
183000,1099558017031,1099558017031
183060,69400297784,69400297784
183180,17296075409,17296075409
183240,349495655052777,349495655052777
183300,-349495655052777,349495655052777
183480,451244678059,451244678059
183840,367025268129702,367025268129702
183900,44212558370505,44212558370505
184140,75585837385880,75585837385880
184200,1521572620266245,1588396163837439
184560,17346283988278,17346283988278
184620,384681129389806,384681129389806
184680,2816337329568,2816337329568
184740,7190984556772,7190984556772
184800,3526287327947627,3526287327947627
184920,24222683903985,24222683903985
184980,545517927766,545517927766
185100,203316284639,203316284639
185160,8771359151857,8771359151857
185220,228599054106,228599054106
185280,577731341442421706,577731341442421706
185460,1405007636993,1405007636993
185580,32380868017110,32380868017110
185640,59514120508359,59514120508359
185700,293256625304,293256625304
185760,17906869374,17906869374
185820,2605529513600,2605529513600
185880,52118415672,52118415672
185940,191992145873,191992145873
186000,172280748499960,172280748499960
186060,29861484694025,29861484694025
186120,225236080958441,225236080958441
186240,331543983911369,331543983911369
186300,13347306292789,13347306292789
186360,1729944870908,1729944870908
186420,376853497514730349,376853497514730349
186480,89335018751135,89335018751135
186540,32264387930789,32264387930789
186600,2189643690673551,2189643690673551
186660,54459772356,54459772356
186780,71964125947570,71964125947570
186840,224600137094553,224600137094553
186960,208720946870885,208720946870885
187020,17416159640101,17416159640101
187080,415759403319960,415759403319960
187140,89016793,89016793
187200,83830922077991,83830922077991
187260,3495207454726,3495207454726
187320,431179565717538,431179565717538
187380,419754802311663,419754802311663
187500,84499251931840,84499251931840
187560,21977016284723,21977016284723
187620,36660338048446,36660338048446
187680,2206794292361845,2206794292361845
187740,30219061104132294,30219061104132294
187800,1531120344847631,1531120344847631
187860,40071014735183,40071014735183
187920,2352762068711270,2352762068711270
187980,675053647567152,675053647567152
188040,262782827780905,262782827780905
188100,163980532574037,163980532574037
188160,189720725850428,189720725850428
188220,86529763171376,86529763171376
188280,21338604934376,21338604934376
188340,11734599071015019,11734599071015019
188400,90957332641254,90957332641254
188460,3194483843776078,3194483843776078
188520,38458846603910792,38458846603910792
188580,1332114168412406,1332114168412406
188640,57638677730793,57638677730793
188700,5540641358433344,5540641358433344
188760,654115799377517,654115799377517
188820,1126685703381418,1126685703381418
188880,80959440285013,80959440285013
188940,937303956970055,937303956970055
189000,6757192291263128,6757192291263128
189060,1299271518767,1299271518767
189120,100948028318281,100948028318281
189180,51845730086484,51845730086484
189240,624547577368701,624547577368701
189300,105205518939344094,105729792464908136
189360,1844945560400653,1844945560400653
189420,37177143409166,37177143409166
189480,55726829141107,55726829141107
189540,60039021404270,60039021404270
189600,320544188722643,320544188722643
189660,7359402758895720,7359402758895720
189720,101779407606828,101779407606828
189780,41688250777791,41688250777791
189840,16532253439251166,16532253439251166
189900,27178008063679460,27178008063679460
189960,115535087674235,115535087674235
190020,30436816721769094,30436816721769094
190080,10200833417988282,10200833417988282
190140,372990319350836,372990319350836
190200,-56270849794744353,58311726054942247
190260,127758306019499,127758306019499
190320,102512090494813,102512090494813
190380,38864493390424235,38864493390424235
190440,1009379395586612613,1009379395586612613
190500,3949562872557539,3949562872557539
190560,252565361832308,252565361832308
190620,31262166071896048,31262166071896048
190680,10619048248215352,10619048248215352
190740,5031845714704187,5031845714704187
190800,3196684848505767,3196684848505767
190860,2816968148916168,2816968148916168
190920,1958052215038769725,1958052215038769725
190980,6547998435239082,6547998435239082
191040,13790587796781517,13790587796781517
191100,28643525251347222,79605580536224276
