window_id,window_family,pool,regime,prefix_swap_count,old_lp_uplift_vs_hook_quote,new_lp_uplift_vs_hook_quote,delta_lp_uplift_vs_hook_quote,old_trigger_rate,new_trigger_rate,delta_trigger_rate,old_fill_rate,new_fill_rate,old_failclosed_rate,new_failclosed_rate
dai_usdc_100_normal_4h_p01,dai_usdc_100_normal_4h,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,8,-14.12116791422252,0.0,14.12116791422252,0.20833333333333334,0.0,-0.20833333333333334,1.0,0.0,0.0,0.0
dai_usdc_100_normal_4h_p02,dai_usdc_100_normal_4h,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,10,-22.16615987351968,0.0,22.16615987351968,0.19999999999999998,0.0,-0.19999999999999998,0.9166666666666666,0.0,0.08333333333333333,0.0
dai_usdc_100_normal_4h_p03,dai_usdc_100_normal_4h,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,12,-22.276460756766568,0.0,22.276460756766568,0.19444444444444445,0.0,-0.19444444444444445,0.8666666666666667,0.0,0.13333333333333333,0.0
dai_usdc_100_normal_4h_p04,dai_usdc_100_normal_4h,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,14,-25.29078404705146,0.0,25.29078404705146,0.23809523809523805,0.0,-0.23809523809523805,0.8666666666666667,0.0,0.13333333333333333,0.0
wbtc_usdc_500_normal_4h_p01,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p02,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p03,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p04,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p05,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_normal_4h_p06,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_stress_2h_p01,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,stress,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_stress_2h_p02,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,stress,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_stress_2h_p03,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,stress,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_usdc_500_stress_2h_p04,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,stress,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p01,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p02,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p03,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p04,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p05,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p06,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weth_usdc_3000_normal_4h_p01,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,12,-1.224404191645244,0.10760784392820816,1.3320120355734522,0.3958333333333333,0.041666666666666664,-0.35416666666666663,1.0,1.0,0.0,0.0
weth_usdc_3000_normal_4h_p02,weth_usdc_3000_normal_4h,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,32,-1.784449702954241,0.8704739730310393,2.6549236759852803,0.265625,0.0703125,-0.1953125,1.0,1.0,0.0,0.0
