window_id,pool,regime,declared_regime,realized_vol_annualised_pct,regime_stress_threshold_pct,lp_net_vs_fixed_fee_quote,lp_net_vs_hook_quote,fill_rate,fallback_rate
dai_usdc_100_normal_4h_p01,0x5777d92f208679db4b9778590fa3cab3ac9e2168,,normal,,100.0,1.0597839677423526,-4.736951571734001e-15,,
dai_usdc_100_normal_4h_p02,0x5777d92f208679db4b9778590fa3cab3ac9e2168,,normal,,100.0,1.077342078216181,-4.736951571734001e-15,,
dai_usdc_100_normal_4h_p03,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,normal,1.3356055060188323,100.0,1.077635907382766,-4.736951571734001e-15,,
dai_usdc_100_normal_4h_p04,0x5777d92f208679db4b9778590fa3cab3ac9e2168,normal,normal,1.3356055060188323,100.0,2.901351857869296,-4.736951571734001e-15,,
link_weth_3000_normal_500block_p01,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,normal,normal,15.057470834924299,100.0,0.006770465425146187,0.0,,
link_weth_3000_normal_500block_p02,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,normal,normal,69.30026745081057,100.0,0.0118575873897529,1.734723475976807e-18,,
link_weth_3000_normal_500block_p03,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,normal,normal,69.30026745081057,100.0,0.011857587389752898,0.0,,
link_weth_3000_stress_500block_p01,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,,stress,,100.0,0.03564019202675972,0.0,,
link_weth_3000_stress_500block_p02,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,,stress,,100.0,0.06912093493697147,0.0,,
link_weth_3000_stress_500block_p03,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,,stress,,100.0,0.08665873378546998,0.0,,
uni_weth_3000_normal_500block_p01,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,,normal,,100.0,0.0024490111882186846,0.0,,
uni_weth_3000_normal_500block_p02,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,,normal,,100.0,0.009101563192416291,0.0,,
uni_weth_3000_normal_500block_p03,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,normal,normal,44.80427300535872,100.0,0.013810345462842936,8.673617379884035e-19,,
uni_weth_3000_stress_500block_p01,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,normal,stress,49.64027089008926,100.0,2.143574443017049e-05,0.0,,
wbtc_usdc_500_normal_4h_p01,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,,normal,,100.0,11.504856557534955,1.9751892035436753,1.0,0.0
wbtc_usdc_500_normal_4h_p02,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,,normal,,100.0,35.45952124163964,5.892036975466084,0.9642857142857143,0.03571428571428571
wbtc_usdc_500_normal_4h_p03,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,normal,16.442951175854617,100.0,65.20879432945924,11.407728588732667,0.9833333333333334,0.016666666666666666
wbtc_usdc_500_normal_4h_p04,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,normal,38.682379106746154,100.0,81.69170940205973,13.75713550379254,0.9875,0.0125
wbtc_usdc_500_normal_4h_p05,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,normal,35.4481690753826,100.0,96.19830929345534,15.85774835390905,0.99,0.01
wbtc_usdc_500_normal_4h_p06,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,normal,32.78432464398712,100.0,107.4497005908696,17.410081508311702,0.9921875,0.0078125
wbtc_usdc_500_stress_2h_p01,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,,stress,,100.0,2.744172133900231,0.10267552320664841,1.0,0.0
wbtc_usdc_500_stress_2h_p02,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,stress,26.81732089384234,100.0,16.552412196621322,1.4139591473675224,0.8571428571428572,0.14285714285714285
wbtc_usdc_500_stress_2h_p03,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,stress,19.01626898664261,100.0,23.443369008984956,1.609816875197017,0.8571428571428572,0.14285714285714285
wbtc_usdc_500_stress_2h_p04,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,stress,19.01626898664261,100.0,35.846101262472935,2.9803063251598316,0.9166666666666667,0.08333333333333333
wbtc_weth_500_normal_4h_p01,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,,normal,,100.0,0.1584606830254229,0.0,,
wbtc_weth_500_normal_4h_p02,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,,normal,,100.0,0.33535520160167037,6.938893903907228e-18,,
wbtc_weth_500_normal_4h_p03,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,normal,42.80912973226958,100.0,0.43054474234209555,4.336808689942018e-19,,
wbtc_weth_500_normal_4h_p04,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,normal,61.773103883353585,100.0,0.6783768443540041,-2.667137344314341e-17,,
wbtc_weth_500_normal_4h_p05,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,normal,60.57720282580363,100.0,0.8805473132446419,-1.0408340855860843e-17,,
wbtc_weth_500_normal_4h_p06,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,normal,54.57746643249227,100.0,1.0445432999638644,-8.326672684688674e-17,,
weth_usdc_3000_normal_4h_p01,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,normal,,100.0,0.010857159142880601,-2.168404344971009e-19,,
weth_usdc_3000_normal_4h_p02,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,15.100358661885826,100.0,0.11735976565269665,3.469446951953614e-18,,
weth_usdc_3000_normal_4h_p03,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,52.445561500027274,100.0,0.2760278448697199,1.3877787807814457e-17,,
weth_usdc_3000_normal_4h_p04,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,51.61142835259878,100.0,0.319833103969228,0.0,,
weth_usdc_3000_normal_4h_p05,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,51.61142835259878,100.0,0.37702122947837546,1.0408340855860843e-17,,
weth_usdc_3000_normal_4h_p06,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,51.61142835259878,100.0,0.38656986439585955,1.0408340855860843e-17,,
weth_usdc_3000_stress_2h_p01,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,stress,,100.0,5.082358771336367e-05,-1.3552527156068805e-20,,
weth_usdc_3000_stress_2h_p02,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,2.474527554243495,100.0,0.02659331828822696,1.3010426069826053e-18,,
weth_usdc_3000_stress_2h_p03,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,25.024456670369062,100.0,0.06650378924228235,6.938893903907228e-18,,
