parameter,LP uplift,Recapture,Clear rate,Reprice,No trade,Stale time,Better flag
Base fee,0.438460792376,0.548221210319,-0.081069567659,-0.29536508933,0.44579056203,0.437072039702,0.445399334083
Alpha,0.685094988087,-0.246699544644,-0.314300477693,-0.874144079404,0.865960976817,0.874144079404,0.318142381488
Start concession,-0.0141300841293,-0.0250832958205,0,0,0,0,0
Concession growth,0.0102764248213,0.0342044943006,0.0673501023629,0.022408478598,-0.0130235748486,-0.0121646026675,0
Quote floor,0.0108116552808,0.0222329212954,0.000311806029458,0.0367072220843,-0.057645331297,-0.0367072220843,0
Max concession,0,0,0,0,0,0,0
Duration,0.0102764248213,0.0342044943006,0.0673501023629,-0.140426465881,0.0725904171888,0.0892070862282,0
Solver gas,-0.226081346069,-0.326842945539,-0.344233856521,-0.107987525434,0.0653313754699,0.0601827710918,-0.318142381488
Solver edge,-0.246634195711,-0.395251934141,-0.478934061247,-0.15280448263,0.0913785251671,0.0845119764268,-0.318142381488
Reserve margin,-0.0274037995235,-0.0965326839151,-0.0823167917769,-0.0136585012407,0.0179341030702,0.0136585012407,-0.0636284762976
