tick_index,liquidity_net,liquidity_gross
-887220,8180081021341517818791,8180081021341517818791
-138180,11899009282092380190,11899009282092380190
-92100,3396795668597142684,3396795668597142684
-74100,11937887416156827,11937887416156827
-71280,275769834487025322209,275769834487025322209
-70740,6069726576598337,6069726576598337
-69060,191624981195003916559,191624981195003916559
-67860,5207604515664681738,5207604515664681738
-65940,1002418765653509,1002418765653509
-65520,42406379348915729,42406379348915729
-65040,61212300311004701153,61212300311004701153
-64920,14570205441241158792,14570205441241158792
-64860,842606642774976842,842606642774976842
-64740,6662385396693913,6662385396693913
-63960,16305611726486949272,16305611726486949272
-63660,901958884621048142,901958884621048142
-63540,137118254714340889,137118254714340889
-63060,39029783690947203723,39029783690947203723
-62880,10389902100904243754,10389902100904243754
-62760,209966178534414,209966178534414
-62640,13098640670420431614,13098640670420431614
-62520,1323592610230057116,1323592610230057116
-62400,184312536230547914581,184312536230547914581
-62340,45366909348199534,45366909348199534
-62160,165146267227217333693,165146267227217333693
-62100,727062484712924913,727062484712924913
-62040,52471354398147812390,52471354398147812390
-61980,251006280612443937,251006280612443937
-61920,104036822686776164957,104036822686776164957
-61860,2599539544689087067,2599539544689087067
-61800,35183885730999650177,35183885730999650177
-61740,8358200165668519126,8358200165668519126
-61680,52832466057998187,52832466057998187
-61620,2101024795573844596,2101024795573844596
-61560,244081160664806905,244081160664806905
-61500,1044375502573044425,1044375502573044425
-61440,28890770072567963755,28890770072567963755
-61380,22513524775740667,22513524775740667
-61320,69953509697218672859,69953509697218672859
-61260,59238790529105305687,59238790529105305687
-61200,15736553236515811111,15736553236515811111
-61140,13777521055229231564,13777521055229231564
-61080,45532534382483688,45532534382483688
-61020,3333227602575200885,3333227602575200885
-60960,30287767432055310,30287767432055310
-60900,69309595626540258,69309595626540258
-60840,68616771419535689856,68616771419535689856
-60780,101068953195347222533,101068953195347222533
-60720,1161391157730884,1161391157730884
-60660,1039349674015067692062,1039349674015067692062
-60600,4121369911058637402,4127098140314504364
-60540,222738604294310834902,222738604294310834902
-60480,16143642961794187638,16143642961794187638
-60420,24686913677653314,24686913677653314
-60300,64367234465447842792,64367234465447842792
-60240,2401044204397342377,2401044204397342377
-60180,323558283717059750817,323558283717059750817
-60120,20785308632673520,20785308632673520
-60060,23030612029129570,23030612029129570
-60000,19507476336207400096,19507476336207400096
-59940,6551641457388652261570,6551641457388652261570
-59880,399453343385657358196,399453343385657358196
-59820,138320594358695933036,138320594358695933036
-59760,52909536168879264160,52909536168879264160
-59700,3845075089648740584,3845075089648740584
-59640,72820288063663870370,72820288063663870370
-59580,7184350735210795812,7184350735210795812
-59520,43807592457321036722,43807592457321036722
-59460,10455218688499017055,10455218688499017055
-59400,1640133870993814091,1640133870993814091
-59340,32929098130422882359,32929098130422882359
-59220,161901197665864772107,161901197665864772107
-59160,181392750413656320426,181392750413656320426
-59100,65225443494397677861,65225443494397677861
-59040,292901868350906418791,292901868350906418791
-58980,25713707808966300791453,25713707808966300791453
-58920,22590518292591137,22590518292591137
-58860,277293280561603311106,277293280561603311106
-58800,300864426200301985640,300864426200301985640
-58740,53718582002964210647,53718582002964210647
-58680,10804822422373691234,10804822422373691234
-58620,3664643017815733862,3664643017815733862
-58560,61427360294174649810,61427360294174649810
-58500,32667947341964334238,32667947341964334238
-58440,16783570328794795116,16783570328794795116
-58380,130950454411297457,130950454411297457
-58320,533684322457653172239,533684322457653172239
-58260,19102599094545651864,34231159960303223490
-58200,-2515482663724731403,41661130204066529009
-58140,976062414137907186343,1011249827863893527561
-58080,957885312316285811221,979807356029243848045
-58020,20197100572149950990,20197100572149950990
-57840,20466743099943114270,20466743099943114270
-57780,1406134988810105400,1406134988810105400
-57720,101279476164050323973,101279476164050323973
-57660,2198864023630734777,2198864023630734777
-57600,4952772162114323123,4952772162114323123
-57480,287964016475303731334,287964016475303731334
-57420,301815181898412107841,301815181898412107841
-57360,158253257273063705873,158253257273063705873
-57300,822767947444855102,822767947444855102
