tick_index,liquidity_net,liquidity_gross
-887220,5312868001523123223048,5312868001523123223048
-276300,124783033715063008,124783033715063008
-242640,2032338076661281779,2032338076661281779
-207240,37044841626005691,37044841626005691
-206220,1409245106840294,1409245106840294
-184260,18374877680188279985,18374877680188279985
-184200,29981724028632296,29981724028632296
-161160,37142801161535002,37142801161535002
-138180,569817848857151475402,569817848857151475402
-125220,10666729901899493,10666729901899493
-115140,50203999879587078404,50203999879587078404
-109440,5446169677498513,5446169677498513
-108180,1697591441129462185,1697591441129462185
-99000,15513467380194540,15513467380194540
-96360,117953969976944425,117953969976944425
-94740,79882970853774020,79882970853774020
-92100,15076851584963732035,15076851584963732035
-90900,10667228673780792,10667228673780792
-85200,126070068826827694,126070068826827694
-79320,9531640189102002747,9531640189102002747
-78600,10493149789482634,10493149789482634
-76020,5174637377268570177,5174637377268570177
-75660,5829565376902309138,5829565376902309138
-73140,6278624563360875,6278624563360875
-72780,21582858376383468841,21582858376383468841
-72420,35717457682629513651,35717457682629513651
-72180,453445181373318752155,453445181373318752155
-71040,49747953341422153134,49747953341422153134
-70920,890839842339437,890839842339437
-70560,876069794129894066908,876069794129894066908
-70500,25967990756790053,25967990756790053
-70200,1585649371869352596,1585649371869352596
-70140,405329211482605213606,405329211482605213606
-69780,6692008418365418628,6692008418365418628
-69480,384037601348480,384037601348480
-69300,133188146685505400,133188146685505400
-69120,12087003932690716527,12087003932690716527
-69060,365196973881016452666,365196973881016452666
-69000,9903894637073292416,9903894637073292416
-68760,1594891223432602985,1594891223432602985
-68640,1614073758433869884,1614073758433869884
-68460,21086984168116796997,21086984168116796997
-68340,6190211821609936063,6190211821609936063
-68280,18379558460404592,18379558460404592
-68100,6993006856812517,6993006856812517
-68040,8047297280799346076,8047297280799346076
-67860,81345916087226236,81345916087226236
-67800,127139409511076881,127139409511076881
-67740,305239224816799288,305239224816799288
-67680,2598464746938210479,2598464746938210479
-67620,64167438511438307,64167438511438307
-67560,124304441976742230112,124304441976742230112
-67500,194800722045236515253,194800722045236515253
-67440,1561543279079682766,1561543279079682766
-67380,11388261654979250116,11388261654979250116
-67260,1484797752246392153,1484797752246392153
-67200,274899491341884770739,274899491341884770739
-67080,7422639623763021,7422639623763021
-67020,35710555986952885,35710555986952885
-66900,457018473568383542807,457018473568383542807
-66840,29438705073979408303,29438705073979408303
-66780,30995203694967197011,30995203694967197011
-66720,53253712562143692805,53253712562143692805
-66600,78394152063725981167,78394152063725981167
-66540,39396522297777037137,39396522297777037137
-66480,474572303014943476436,474572303014943476436
-66420,77250686918374699,77250686918374699
-66360,89925580131748520,89925580131748520
-66300,1032489369979480161,1032489369979480161
-66240,39918423299002292434,39918423299002292434
-66180,312259475011187543344,312259475011187543344
-66120,221308243062254967478,221308243062254967478
-66060,653450302143152714,653450302143152714
-66000,3816806057048853158,3816806057048853158
-65940,4849772064001328364,4849772064001328364
-65880,3404047068029379156,3404047068029379156
-65820,106563873992379739431,106563873992379739431
-65760,35475117332509508993,35475117332509508993
-65700,1108685955628291834,1108685955628291834
-65640,689512254779692184350,689512254779692184350
-65580,5864583972672499016,5864583972672499016
-65520,253481519972848541580,253481519972848541580
-65460,1885478451992626016,1885478451992626016
-65400,728343654952820469723,728343654952820469723
-65340,97971233785973783318,97971233785973783318
-65280,23630438331479517708,23630438331479517708
-65220,744970274316523625817,744970274316523625817
-65160,1170947970596348575,1170947970596348575
-65100,184565931769370032915,184565931769370032915
-64980,373444053127157432460,373444053127157432460
-64920,311126699594665319700,311126699594665319700
-64860,95401301769566253956,95401301769566253956
-64800,31834250678820735537,31834250678820735537
-64740,200852482938191900,200852482938191900
-64680,260339781973184527821,260339781973184527821
-64620,179446250124730689694,179446250124730689694
-64560,606665685399723,606665685399723
-64500,6054348050552980191,6054348050552980191
-64440,2500945534888908191418,2500945534888908191418
